table,path,rows,cols,bytes,encoding,delimiter,sha256,note
customers,data/customers.csv,121930,7,7079679,utf-8,",",5e58abf49e99d52bf8ddda44601a30e78667760908b862287bc6e69a45cf77b8,
products,data/products.csv,2412,8,195223,utf-8,",",890946808d8237dad0d39153efd427f5399a5e6eaa2302681ab6bdf8a706204c,
geography,data/geography.csv,39948,4,1402281,utf-8,",",f5d150bdfdfca7ac0c38118b1f5f8ea1b3f5de4cd23fa700d5aa0adcd2ab6353,
orders,data/orders.csv,646945,8,45963232,utf-8,",",f4b3029f386f5f5a6baabd78aad0140e5a101ea6975f4cbaba04976813f3f3af,
payments,data/payments.csv,646945,4,18383288,utf-8,",",aacef7716fe1c1442bc46e8885019cf1d67e12655c2e0f28bd0c9e92e145a6e7,
order_items,data/order_items.csv,714669,7,23942735,utf-8,",",a8b2adfe54eec0dda79ced28e5987d6846b7f31cb6052356ab3a1772cc85e0bc,
shipments,data/shipments.csv,566067,4,19756082,utf-8,",",9a96bd80dde30dae22d726cdcd414dd8463b879de4ec1f09334c22396a56242b,
reviews,data/reviews.csv,113551,7,6791414,utf-8,",",5230859408955d611bc430df5d788eb66fedd56f3be9f6fe912af6da643fa0f1,
returns,data/returns.csv,39939,7,2281456,utf-8,",",501717bc76cf237c0dbbb68f586351870047198042c4232376983fec94699534,
promotions,data/promotions.csv,50,10,4444,utf-8,",",158ee5843ee41a28b5f5748ab2c73bd712524da6c00930fa9e80774e3751b0be,
inventory,data/inventory.csv,60247,17,5668678,utf-8,",",1bbcdd89569a5df4b938ac0577f0657030c41c3a18956f4ad748f1bf4f289768,
web_traffic,data/web_traffic.csv,3652,7,208722,utf-8,",",9bc9b72e44a814e50ae6e9fdcfa915cda6fa2c5cf306b1b4b36b27dce8f44cf3,
sales,data/sales.csv,3833,3,129634,utf-8,",",081d539f50d41f202edfb064a2cf218d44e3ac1429c6c34fd1869ae060aa882d,
sample_submission,data/sample_submission.csv,548,3,18530,utf-8,",",1c0c574c3bc0edab5b053fb21c0cbb67393316d206503e14fbe4b17b9ce41aba,
