table,column,dtype_actual,dtype_expected,parse_ok,parse_fail_count,flag
customers,customer_id,int64,int,OK,0,
customers,zip,int64,int,OK,0,
customers,city,object,str,OK,0,
customers,signup_date,object,date,OK,0,
customers,gender,object,str,OK,0,
customers,age_group,object,str,OK,0,
customers,acquisition_channel,object,str,OK,0,
geography,zip,int64,int,OK,0,
geography,city,object,str,OK,0,
geography,region,object,str,OK,0,
geography,district,object,str,OK,0,
products,product_id,int64,int,OK,0,
products,product_name,object,str,OK,0,
products,category,object,str,OK,0,
products,segment,object,str,OK,0,
products,size,object,str,OK,0,
products,color,object,str,OK,0,
products,price,float64,float,OK,0,
products,cogs,float64,float,OK,0,
promotions,promo_id,object,str,OK,0,
promotions,promo_name,object,str,OK,0,
promotions,promo_type,object,str,OK,0,
promotions,discount_value,float64,float,OK,0,
promotions,start_date,object,date,OK,0,
promotions,end_date,object,date,OK,0,
promotions,applicable_category,object,str,OK,0,
promotions,promo_channel,object,str,OK,0,
promotions,stackable_flag,int64,int,OK,0,
promotions,min_order_value,int64,int,OK,0,
orders,order_id,int64,int,OK,0,
orders,order_date,object,date,OK,0,
orders,customer_id,int64,int,OK,0,
orders,zip,int64,int,OK,0,
orders,order_status,object,str,OK,0,
orders,payment_method,object,str,OK,0,
orders,device_type,object,str,OK,0,
orders,order_source,object,str,OK,0,
order_items,order_id,int64,int,OK,0,
order_items,product_id,int64,int,OK,0,
order_items,quantity,int64,int,OK,0,
order_items,unit_price,float64,float,OK,0,
order_items,discount_amount,float64,float,OK,0,
order_items,promo_id,object,str,OK,0,
order_items,promo_id_2,object,str,OK,0,
payments,order_id,int64,int,OK,0,
payments,payment_method,object,str,OK,0,
payments,payment_value,float64,float,OK,0,
payments,installments,int64,int,OK,0,
shipments,order_id,int64,int,OK,0,
shipments,ship_date,object,date,OK,0,
shipments,delivery_date,object,date,OK,0,
shipments,shipping_fee,float64,float,OK,0,
returns,return_id,object,str,OK,0,
returns,order_id,int64,int,OK,0,
returns,product_id,int64,int,OK,0,
returns,return_date,object,date,OK,0,
returns,return_reason,object,str,OK,0,
returns,return_quantity,int64,int,OK,0,
returns,refund_amount,float64,float,OK,0,
reviews,review_id,object,str,OK,0,
reviews,order_id,int64,int,OK,0,
reviews,product_id,int64,int,OK,0,
reviews,customer_id,int64,int,OK,0,
reviews,review_date,object,date,OK,0,
reviews,rating,int64,int,OK,0,
reviews,review_title,object,str,OK,0,
inventory,snapshot_date,object,date,OK,0,
inventory,product_id,int64,int,OK,0,
inventory,stock_on_hand,int64,int,OK,0,
inventory,units_received,int64,int,OK,0,
inventory,units_sold,int64,int,OK,0,
inventory,stockout_days,int64,int,OK,0,
inventory,days_of_supply,float64,float,OK,0,
inventory,fill_rate,float64,float,OK,0,
inventory,stockout_flag,int64,int,OK,0,
inventory,overstock_flag,int64,int,OK,0,
inventory,reorder_flag,int64,int,OK,0,
inventory,sell_through_rate,float64,float,OK,0,
inventory,product_name,object,str,OK,0,
inventory,category,object,str,OK,0,
inventory,segment,object,str,OK,0,
inventory,year,int64,int,OK,0,
inventory,month,int64,int,OK,0,
web_traffic,date,object,date,OK,0,
web_traffic,sessions,int64,int,OK,0,
web_traffic,unique_visitors,int64,int,OK,0,
web_traffic,page_views,int64,int,OK,0,
web_traffic,bounce_rate,float64,float,OK,0,
web_traffic,avg_session_duration_sec,float64,float,OK,0,
web_traffic,traffic_source,object,str,OK,0,
sales,Date,object,date,OK,0,
sales,Revenue,float64,float,OK,0,
sales,COGS,float64,float,OK,0,
sample_submission,Date,object,date,OK,0,
sample_submission,Revenue,float64,float,OK,0,
sample_submission,COGS,float64,float,OK,0,
