Date,gross_revenue,net_revenue,COGS
2012-07-04,5123547.94,4968762.12,3982991.19
2012-07-05,2751773.45,2520721.79,2150580.23
2012-07-06,3054029.42,2646490.5500000003,2517632.84
2012-07-07,2667930.94,2337896.96,2108246.62
2012-07-08,2360851.9,2199273.37,1808622.79
2012-07-09,3548386.46,2909927.18,2787841.68
2012-07-10,5234938.62,4809139.38,4044438.84
2012-07-11,5582884.78,5279686.05,4338313.07
2012-07-12,5734632.02,5418901.4,4458811.27
2012-07-13,5309511.71,4767890.64,4143402.78
2012-07-14,3820831.41,3467004.08,3075464.87
2012-07-15,3948841.28,3611558.93,3154482.05
2012-07-16,3503801.49,3304298.02,2708219.59
2012-07-17,4476729.49,4009144.84,3463061.65
2012-07-18,5184141.46,4616731.78,4072012.16
2012-07-19,6421487.11,5833266.12,5007270.91
2012-07-20,5171470.46,4715258.79,4213989.64
2012-07-21,3442157.02,3092301.9,2746075.45
2012-07-22,3117550.57,2871623.47,2531656.38
2012-07-23,4730517.69,4557857.42,3685006.66
2012-07-24,4096496.12,3664854.9899999998,3248450.65
2012-07-25,5246688.08,4809259.03,4140019.37
2012-07-26,5851965.06,5084409.2700000005,4579171.74
2012-07-27,5156699.45,4617829.51,3989402.2
2012-07-28,4326956.84,4007323.09,3403662.59
2012-07-29,4804199.65,4367596.82,3819645.91
2012-07-30,6586130.95,6042464.3,5195109.56
2012-07-31,9151622.14,8127128.82,7142891.18
2012-08-01,9148357.3,8174939.25,7308514.33
2012-08-02,9692427.0,8795861.97,7537501.15
2012-08-03,9297269.95,8470204.92,7118808.46
2012-08-04,6384195.03,5642879.11,5087528.11
2012-08-05,2359224.19,2162529.26,1863413.11
2012-08-06,3630003.7,3342726.45,2922718.71
2012-08-07,2240253.44,1880483.96,1781265.84
2012-08-08,2617553.36,2213952.45,1997006.42
2012-08-09,4478691.52,4037002.9,3621672.71
2012-08-10,3412496.65,2919365.39,2699279.56
2012-08-11,2732604.35,2517011.44,2168668.05
2012-08-12,3388181.83,3183954.64,2654275.25
2012-08-13,3928170.01,3559008.94,3189564.96
2012-08-14,4033912.16,3797425.58,3258198.58
2012-08-15,3780293.26,3617629.73,2886923.59
2012-08-16,5249978.18,4532660.34,4222455.97
2012-08-17,4089284.05,3848204.64,3238908.92
2012-08-18,3450015.71,3364468.95,2808916.94
2012-08-19,3904300.93,3722884.48,3006801.4
2012-08-20,3541027.32,3288180.06,2827038.81
2012-08-21,4147483.23,3703326.67,3364364.64
2012-08-22,4597682.81,4089522.06,3562468.33
2012-08-23,5478869.55,5095471.6899999995,4195738.04
2012-08-24,4637850.57,4038337.96,3632210.67
2012-08-25,3589566.28,3153324.91,2784342.75
2012-08-26,4280204.53,3942667.39,3476942.48
2012-08-27,3038895.84,2840663.96,2365260.68
2012-08-28,9508676.62,8539277.55,7439851.59
2012-08-29,9260558.32,8315612.42,7336294.54
2012-08-30,10086534.1,8895019.51,7950911.72
2012-08-31,9104678.52,8033889.92,7277460.12
2012-09-01,8560208.92,7791131.42,6738335.17
2012-09-02,2587099.44,2329542.22,1946097.28
2012-09-03,3865505.01,3478710.92,3063431.08
2012-09-04,3645749.44,3368596.8,2876968.79
2012-09-05,2398185.51,2026742.3699999999,1966376.48
2012-09-06,2858227.37,2554299.5,2147909.96
2012-09-07,3282753.8,2888642.57,2580035.06
2012-09-08,3666204.89,3324858.12,2804001.32
2012-09-09,4458501.42,4244460.64,3589475.8
2012-09-10,4548962.79,4403460.78,3517300.88
2012-09-11,4021565.55,3661253.41,3264364.41
2012-09-12,3335978.29,3110224.81,2673690.65
2012-09-13,2609609.29,2480038.5500000003,2103806.97
2012-09-14,3729228.43,3465463.26,2835412.27
2012-09-15,3605125.64,3246720.74,2849539.9
2012-09-16,4452012.44,3973515.84,3561492.95
2012-09-17,4811788.67,4414053.81,3932069.23
2012-09-18,5078878.07,4616899.91,4123200.89
2012-09-19,3680241.62,3265670.1,3014323.76
2012-09-20,3763143.75,3366339.21,3080273.62
2012-09-21,3943768.14,3572914.11,2978697.93
2012-09-22,3872374.03,3400073.71,3011266.74
2012-09-23,4118299.54,3847605.46,3294951.2
2012-09-24,5733263.53,5152723.94,4585762.62
2012-09-25,5639897.53,5274143.24,4502395.62
2012-09-26,4592282.59,4208090.79,3670417.04
2012-09-27,7556892.66,6634283.39,6017108.13
2012-09-28,4892631.14,4551956.57,3884590.92
2012-09-29,5304374.46,4761522.13,4170120.63
2012-09-30,4694379.86,4142506.6,3812737.52
2012-10-01,4752532.1,4488336.87,3764447.04
2012-10-02,3233135.78,3084402.47,2566510.62
2012-10-03,3515132.03,3192461.71,2762823.63
2012-10-04,2398137.74,2153229.07,1902425.74
2012-10-05,2665953.06,2284146.06,2064899.19
2012-10-06,2205266.94,1982291.51,1755004.4
2012-10-07,3389598.07,3133079.04,2725469.75
2012-10-08,4037039.45,3759085.63,3285493.04
2012-10-09,4298675.76,3860828.3000000003,3472700.63
2012-10-10,3548716.67,3361842.98,2839202.59
2012-10-11,3421490.39,3313424.78,2765374.16
2012-10-12,2380119.87,2199769.9,1830898.15
2012-10-13,2798011.44,2449317.31,2256579.15
2012-10-14,3055629.78,2925149.53,2516987.32
2012-10-15,3234517.3,2843707.36,2632811.8
2012-10-16,3549298.21,3358731.37,2763325.25
2012-10-17,3818048.0,3617752.42,3108682.75
2012-10-18,2909728.89,2499713.53,2301277.14
2012-10-19,2877379.81,2735640.48,2352068.71
2012-10-20,3242557.3,2752979.28,2647331.71
2012-10-21,2395609.91,2313835.61,1920246.47
2012-10-22,3596158.34,3172395.85,2873316.18
2012-10-23,3999141.88,3565477.75,3151858.27
2012-10-24,3829179.99,3514652.54,3037851.31
2012-10-25,3104460.52,2953050.91,2528526.7
2012-10-26,2138927.17,1998675.15,1671777.12
2012-10-27,2816872.34,2603690.9,2296869.06
2012-10-28,6259883.83,5696526.42,5044146.85
2012-10-29,5424539.1,5049224.9,4294440.71
2012-10-30,6347274.89,5763435.83,5049887.71
2012-10-31,4942677.89,4303075.27,3871571.88
2012-11-01,5536748.35,5023503.6,4440955.34
2012-11-02,1936831.08,1635569.9,1547786.14
2012-11-03,2911848.61,2850963.39,2151815.97
2012-11-04,2658832.75,2266111.0,2131401.7
2012-11-05,3332448.46,2786705.92,2732792.99
2012-11-06,3439495.01,3067553.1,2809375.18
2012-11-07,1969815.91,1740293.15,1538155.1
2012-11-08,2197716.17,2006103.21,1723412.77
2012-11-09,2920310.06,2531544.67,2308918.6
2012-11-10,3124993.27,2823595.47,2475389.25
2012-11-11,3484874.3,3211795.34,2713727.18
2012-11-12,3806978.06,3541770.9499999997,3077336.49
2012-11-13,3848498.06,3703868.04,3048755.92
2012-11-14,3213518.64,2864544.01,2550177.92
2012-11-15,2996358.37,2630938.66,2282178.26
2012-11-16,2851503.98,2680033.3,2255928.16
2012-11-17,3258479.4,2828903.31,2499839.57
2012-11-18,3292697.97,2788229.71,2632996.71
2012-11-19,4654711.93,3816777.97,3714724.53
2012-11-20,3532139.01,3043724.69,2841184.71
2012-11-21,3144567.59,2997196.19,2465022.82
2012-11-22,2661394.83,2320968.27,2082526.75
2012-11-23,3625609.77,3386061.67,2879673.14
2012-11-24,2283866.51,2023923.48,1759438.38
2012-11-25,2891169.43,2697881.36,2288045.69
2012-11-26,3626699.25,3358494.82,2942841.67
2012-11-27,4703189.22,4011912.34,3751057.26
2012-11-28,3980270.66,3407899.71,3143037.5
2012-11-29,3116036.61,2775690.02,2564940.27
2012-11-30,3184691.98,2915111.55,2466641.44
2012-12-01,3064822.76,2819833.9699999997,2435991.34
2012-12-02,1765509.34,1610471.8800000001,1464812.23
2012-12-03,2315389.05,2097959.71,1807129.65
2012-12-04,2382954.42,2151723.52,1864688.02
2012-12-05,2286277.45,2097440.59,1849992.69
2012-12-06,2733678.5,2318725.62,2184618.1
2012-12-07,2065198.04,1950101.74,1633326.72
2012-12-08,2087384.34,1906435.28,1719369.91
2012-12-09,2430122.78,2081785.55,1883727.02
2012-12-10,2542389.69,2363031.4,2015472.58
2012-12-11,3699430.17,3446797.29,3001083.16
2012-12-12,4386420.92,4029197.51,3545221.89
2012-12-13,2326824.81,2108377.0300000003,1839144.84
2012-12-14,2659317.57,2354824.14,2101555.8
2012-12-15,3385542.75,3135959.86,2693057.28
2012-12-16,3484853.43,3181493.11,2706611.68
2012-12-17,4281691.85,3874794.52,3433745.61
2012-12-18,4394537.67,3961001.84,3473710.24
2012-12-19,3785472.73,3659971.12,3004383.53
2012-12-20,3905985.95,3467810.85,3132486.67
2012-12-21,3966203.09,3452449.77,3174444.37
2012-12-22,3225123.87,2823824.74,2559516.54
2012-12-23,2151580.15,2073363.23,1770780.57
2012-12-24,3297376.6,3059865.84,2599138.83
2012-12-25,4917024.98,4575063.61,3856446.89
2012-12-26,3285221.25,3142409.04,2658633.45
2012-12-27,4994041.71,4613297.65,3924374.73
2012-12-28,8573663.31,8072455.15,6682336.48
2012-12-29,7842913.37,6888083.21,6260959.87
2012-12-30,6511908.92,5759234.86,5180121.12
2012-12-31,5573749.22,5139199.46,4432224.44
2013-01-01,5304546.99,4763062.61,4156070.2
2013-01-02,1606940.44,1499824.58,1237497.84
2013-01-03,2281680.01,2095453.38,1832133.02
2013-01-04,2376895.46,1981929.03,1940747.07
2013-01-05,2509462.77,2309833.31,1977027.71
2013-01-06,2603356.52,2361732.55,2060481.76
2013-01-07,3048100.39,2819378.43,2452517.39
2013-01-08,2449700.42,2281624.17,1973182.14
2013-01-09,2049715.7,1925572.02,1654806.5
2013-01-10,2794331.46,2565424.75,2122153.07
2013-01-11,2343077.25,2146422.03,1805692.13
2013-01-12,2814596.53,2593779.29,2241879.07
2013-01-13,2919719.62,2737434.1,2279740.92
2013-01-14,3077677.28,2898967.67,2477490.97
2013-01-15,2536405.93,2390470.44,2094291.34
2013-01-16,1849789.43,1720934.85,1445623.48
2013-01-17,2173214.95,1796355.1199999999,1763012.0
2013-01-18,2099249.56,1790167.51,1615535.57
2013-01-19,2477132.79,2091227.95,2033637.15
2013-01-20,2522776.58,2263090.54,2018671.04
2013-01-21,4100379.42,3894107.4,3250868.59
2013-01-22,3538734.12,3337142.71,2801650.02
2013-01-23,2836455.88,2624437.21,2322088.98
2013-01-24,2522924.71,2309621.64,2102458.71
2013-01-25,2823082.71,2682340.5,2273250.41
2013-01-26,2312290.79,2214387.12,1869897.73
2013-01-27,3818881.29,3684939.46,3023842.24
2013-01-28,5008712.77,4436525.24,4035190.91
2013-01-29,4833870.43,4500184.64,4015854.7
2013-01-30,4296295.37,4163624.44,3414688.28
2013-01-31,3378679.46,2993769.79,2731823.14
2013-02-01,4073777.92,3465622.48,3289266.58
2013-02-02,2351969.75,2240239.03,1915236.16
2013-02-03,2743224.75,2474871.72,2293960.05
2013-02-04,3599084.22,3247612.1,2986552.92
2013-02-05,3829186.14,3344142.4899999998,3181079.49
2013-02-06,2313071.08,2009732.95,1919077.04
2013-02-07,2839296.13,2562569.58,2338660.54
2013-02-08,2648161.4,2350419.0,2136088.4
2013-02-09,2957587.36,2643343.32,2354253.06
2013-02-10,3380985.73,2890965.79,2832001.18
2013-02-11,4189315.44,3790210.87,3426089.62
2013-02-12,3967295.55,3294064.04,3276616.25
2013-02-13,3156812.35,2849788.25,2628245.52
2013-02-14,3286622.13,2918034.96,2725794.93
2013-02-15,2860640.37,2598758.0100000002,2293142.09
2013-02-16,3339909.75,2953832.0,2755975.45
2013-02-17,3433567.61,2853658.34,2907659.44
2013-02-18,4473211.04,4026481.31,3823113.82
2013-02-19,4318301.23,4009644.4699999997,3421155.04
2013-02-20,3392471.04,2898299.25,2787089.48
2013-02-21,3412803.18,2807642.67,2676550.95
2013-02-22,3535377.38,3242472.2199999997,2908690.59
2013-02-23,4286140.45,3396683.25,3439856.85
2013-02-24,5419232.89,4745132.86,4431878.1
2013-02-25,9128225.25,7823006.6,7430696.94
2013-02-26,6762535.71,5666748.46,5653323.87
2013-02-27,5716765.68,4945138.85,4880975.48
2013-02-28,4367566.41,3777390.65,3573846.75
2013-03-01,2693901.21,2451177.95,2256905.73
2013-03-02,279813.94,234946.90000000002,236576.31
2013-03-03,1959484.08,1729136.02,1505793.8
2013-03-04,1412869.43,1278365.41,1130489.5
2013-03-05,2440470.72,2263662.05,1954056.55
2013-03-06,3247761.18,2683418.22,2622451.1
2013-03-07,4017685.67,3588977.38,3191424.08
2013-03-08,3622255.55,2967102.38,2838056.23
2013-03-09,3263371.09,2788124.33,2560913.71
2013-03-10,3510986.19,3174914.95,2877727.07
2013-03-11,3242639.13,3091630.73,2568418.97
2013-03-12,3660190.99,3424584.0,2853606.73
2013-03-13,4335373.37,3748751.54,3463021.54
2013-03-14,6692797.3,5585573.3,5359353.2
2013-03-15,5330057.69,4945629.66,4206775.58
2013-03-16,3591734.21,3340945.94,2762570.88
2013-03-17,4401297.64,3902709.49,3565497.63
2013-03-18,4567013.37,3895285.31,3743618.37
2013-03-19,4645433.62,3959124.26,3929520.42
2013-03-20,4992105.19,4301249.16,4308112.41
2013-03-21,7355693.45,6230037.97,6496769.78
2013-03-22,6603332.26,5282875.0,6021167.98
2013-03-23,6009508.61,4595174.94,5393148.03
2013-03-24,5088153.2,4109501.4899999998,4610104.28
2013-03-25,4694308.82,3816211.84,4169990.65
2013-03-26,5731432.22,4676215.48,5192620.7
2013-03-27,6872130.59,5540798.9799999995,6081507.57
2013-03-28,8099154.93,6683225.36,7239463.63
2013-03-29,8381683.44,6893845.16,7644413.84
2013-03-30,11636994.38,9350981.93,10600188.31
2013-03-31,9455023.8,7679622.2,8513517.85
2013-04-01,10313848.23,7797419.37,9188774.52
2013-04-02,8250013.05,6464913.95,7374699.1
2013-04-03,8740749.51,7062280.78,7769943.74
2013-04-04,4270660.8,3631943.75,3779960.51
2013-04-05,3073716.42,2130763.7,2637291.44
2013-04-06,3663196.56,2949772.8,3221790.63
2013-04-07,2924734.26,2140936.44,2598895.09
2013-04-08,4670874.28,3526090.64,4351446.44
2013-04-09,4293257.18,3367075.92,3845242.09
2013-04-10,6011834.78,4871182.24,5327749.04
2013-04-11,4244755.76,3529501.39,3794688.65
2013-04-12,4282161.81,3465188.79,3850989.97
2013-04-13,5214391.75,4318250.06,4691901.42
2013-04-14,4506492.03,3759134.42,3873550.82
2013-04-15,5167610.5,4464707.24,4514315.72
2013-04-16,5887221.88,5340204.5,4755791.57
2013-04-17,8104639.53,7396093.62,6617328.78
2013-04-18,6536742.64,6013299.57,5253454.75
2013-04-19,5871312.85,5597943.75,4657092.08
2013-04-20,6012115.71,5487288.58,4722140.67
2013-04-21,6323547.99,5805972.87,5021941.78
2013-04-22,7292352.56,6782113.86,5866886.82
2013-04-23,8757473.08,7977303.12,6907927.03
2013-04-24,9358565.61,8378711.94,7286897.36
2013-04-25,9127283.0,8458468.4,7206948.14
2013-04-26,6156392.84,5689555.22,4860244.05
2013-04-27,6420235.09,5950996.18,5103697.51
2013-04-28,9099343.31,7811513.7,7234100.22
2013-04-29,13160942.22,11903277.85,10423989.71
2013-04-30,11190466.86,9867167.67,8842281.65
2013-05-01,13051232.31,12014078.07,10395426.51
2013-05-02,11179665.29,10206446.86,8989067.99
2013-05-03,8173550.12,7255362.0,6507576.59
2013-05-04,3225175.57,2944900.15,2586608.79
2013-05-05,3906711.0,3467929.18,3268319.42
2013-05-06,4311626.38,4036490.29,3384442.35
2013-05-07,3763332.37,3497715.98,3079887.85
2013-05-08,5458168.5,4791346.16,4267785.48
2013-05-09,5815611.07,5209165.67,4647084.74
2013-05-10,4248246.45,3962100.89,3392369.6
2013-05-11,4388803.6,4165865.65,3347274.34
2013-05-12,4298069.68,4087768.55,3423974.02
2013-05-13,4663488.62,4012434.65,3677688.54
2013-05-14,5622176.45,5063370.19,4515976.68
2013-05-15,6416011.44,5544997.32,5136196.06
2013-05-16,7727680.05,7101388.23,6101584.58
2013-05-17,6520355.77,5865937.89,5213542.1
2013-05-18,5126131.05,4826310.89,4165368.61
2013-05-19,5417543.03,4880765.11,4323889.4
2013-05-20,5837064.06,5270665.16,4872375.63
2013-05-21,5156527.79,4450833.01,4086850.49
2013-05-22,6977473.78,6468736.76,5617374.39
2013-05-23,9166919.02,8451169.62,7150676.62
2013-05-24,6670030.19,6061197.61,5242528.96
2013-05-25,5054594.94,4493067.9,3916382.21
2013-05-26,3649585.05,3270014.05,2889501.26
2013-05-27,4403026.04,3849642.77,3471897.02
2013-05-28,6274027.61,5515046.16,4977411.59
2013-05-29,7359639.59,6530196.2,5841803.19
2013-05-30,12828293.48,11569991.52,10036927.65
2013-05-31,13809349.18,12562327.0,11231361.14
2013-06-01,13162597.88,12094490.92,10314262.16
2013-06-02,12079925.72,11162126.66,9610953.04
2013-06-03,9411997.25,8578581.66,7525850.2
2013-06-04,5397308.75,5126270.83,4297393.33
2013-06-05,6860958.96,6405227.05,5505167.85
2013-06-06,5692902.11,5310521.77,4632206.37
2013-06-07,3843507.28,3306550.43,2986865.05
2013-06-08,3646959.35,3418620.63,2897196.14
2013-06-09,3880132.51,3529891.2600000002,3070545.08
2013-06-10,4476887.83,4192508.83,3582347.82
2013-06-11,5003847.86,4549138.78,3903592.44
2013-06-12,7209020.15,6374329.2,5796177.46
2013-06-13,6845836.24,5774278.84,5559998.61
2013-06-14,4871516.57,4303020.32,3975403.65
2013-06-15,5166292.57,4789890.08,4029821.84
2013-06-16,5794009.15,5320895.32,4551326.63
2013-06-17,5795298.96,5470954.44,4637293.92
2013-06-18,6632615.61,5972609.18,5459331.17
2013-06-19,7437341.02,6555915.67,6031157.35
2013-06-20,7078652.68,6764181.23,5515676.8
2013-06-21,5526354.45,4885756.71,4396745.86
2013-06-22,5117274.96,4551349.02,4111300.17
2013-06-23,5844565.63,5153431.29,4855247.11
2013-06-24,5243774.5,4456662.16,4800223.91
2013-06-25,6728887.1,5336024.86,6142934.34
2013-06-26,8817278.13,6472550.34,8290194.65
2013-06-27,7748199.74,5871867.11,7462815.86
2013-06-28,6285354.21,4633441.2299999995,6043485.1
2013-06-29,9546012.78,6967090.05,9167617.84
2013-06-30,7372318.59,5257414.3,7149429.97
2013-07-01,6359864.53,4921574.16,6248239.94
2013-07-02,7209130.33,5283345.03,6927420.38
2013-07-03,8038680.63,5898393.01,7869401.17
2013-07-04,2521315.44,1905076.6099999999,2408274.98
2013-07-05,2494107.65,1962713.44,2432073.97
2013-07-06,2452372.43,1719684.1,2331799.51
2013-07-07,2958215.01,2179217.76,2950992.63
2013-07-08,2571901.18,1933933.55,2450996.77
2013-07-09,4624825.33,3478161.67,4592718.95
2013-07-10,3855254.64,2922173.27,3797797.81
2013-07-11,5785320.61,4266382.05,5626075.87
2013-07-12,6053300.71,4468301.7700000005,5886949.95
2013-07-13,4161301.31,2979896.7800000003,3995435.41
2013-07-14,4482102.22,3391445.2600000002,4419156.67
2013-07-15,4387240.36,3248407.21,4219310.04
2013-07-16,4411030.39,3269089.11,4135243.61
2013-07-17,4475453.64,3380108.96,4375610.63
2013-07-18,6265533.39,4658687.08,6163756.55
2013-07-19,6310739.5,4823776.25,5960928.51
2013-07-20,4157746.85,2971472.09,3978173.28
2013-07-21,4847680.2,3870016.88,4301699.27
2013-07-22,5926190.4,5030133.96,5032346.99
2013-07-23,4436778.28,4147184.74,3552350.42
2013-07-24,7329505.1,6480028.38,5924978.27
2013-07-25,6342757.31,5748380.6,4978292.65
2013-07-26,6941436.71,6285500.84,5543496.22
2013-07-27,4353958.13,3951589.99,3499528.32
2013-07-28,6017516.42,5499337.78,4917333.26
2013-07-29,8158241.16,7511673.5200000005,6599164.67
2013-07-30,7711378.77,6803735.35,7073525.07
2013-07-31,10104475.36,9166873.59,10851542.12
2013-08-01,10998208.4,9923281.81,12167214.07
2013-08-02,7422715.15,6796390.91,9601836.11
2013-08-03,5599602.67,4801184.77,7786528.35
2013-08-04,5021938.29,4585791.21,7089757.76
2013-08-05,2231563.34,2005425.8699999999,3064145.21
2013-08-06,2493225.51,2142251.03,3592496.3
2013-08-07,2638845.23,2341533.07,3381813.66
2013-08-08,3065089.0,2681064.05,4223344.7
2013-08-09,2598855.08,2312411.11,3418548.13
2013-08-10,1776113.02,1589318.58,2320738.01
2013-08-11,2074476.53,1888615.92,2834815.33
2013-08-12,1933036.01,1780979.22,2566277.36
2013-08-13,2531884.21,2347870.88,3266499.42
2013-08-14,2791478.67,2567342.82,3740726.27
2013-08-15,3665019.45,3183134.48,4896607.22
2013-08-16,3619170.1,3250634.65,4661015.06
2013-08-17,3066137.96,2769482.81,4129676.85
2013-08-18,2385617.18,2212439.46,2947242.18
2013-08-19,2870843.18,2595125.75,3669528.41
2013-08-20,2730112.88,2394085.46,3528369.0
2013-08-21,2707776.73,2399696.05,3591906.04
2013-08-22,3821233.2,3257726.31,5275320.79
2013-08-23,3454696.96,2969623.97,4693020.59
2013-08-24,2837188.07,2555485.79,4087795.83
2013-08-25,3018860.44,2705095.97,3945685.24
2013-08-26,3465971.03,3068599.21,4845153.03
2013-08-27,3008572.56,2611988.72,3950990.04
2013-08-28,3749158.5,3310832.09,4845899.79
2013-08-29,6385124.62,5672560.66,8251851.88
2013-08-30,5499141.72,5078725.12,7247803.25
2013-08-31,6810100.27,6073953.1,8325085.12
2013-09-01,6018993.92,5150134.93,6937336.62
2013-09-02,5386759.65,4632732.12,5986639.99
2013-09-03,4126941.12,3513035.69,3701795.41
2013-09-04,5401049.96,4521428.59,4808183.3
2013-09-05,3168900.6,2654396.09,2729766.04
2013-09-06,2705040.33,2286012.83,2367475.06
2013-09-07,2468479.29,2057136.8499999999,2187848.67
2013-09-08,3056823.21,2565713.5,2611808.27
2013-09-09,3771227.87,3213076.06,3399993.99
2013-09-10,5357130.97,4408873.91,4737093.81
2013-09-11,4636476.74,3748237.54,4075727.91
2013-09-12,3865949.23,3105057.25,3502787.78
2013-09-13,3034568.95,2475302.07,2783517.1
2013-09-14,3664631.38,2998500.18,3289032.18
2013-09-15,3078369.62,2392751.2,2753095.6
2013-09-16,3927167.34,3321190.07,3489729.16
2013-09-17,5410121.46,4557355.92,4728526.43
2013-09-18,4460453.69,3694282.14,3992756.75
2013-09-19,2995364.48,2411116.29,2599191.98
2013-09-20,3316913.08,2758066.65,3045593.87
2013-09-21,3799564.88,3235658.57,3399323.86
2013-09-22,3243304.2,2710621.59,2980813.06
2013-09-23,4426354.9,3641057.01,3977701.82
2013-09-24,4673257.46,3866163.24,4051335.39
2013-09-25,4851490.55,3982382.96,4336304.71
2013-09-26,4120039.5,3248393.09,3761711.17
2013-09-27,4676571.41,3912826.58,4202205.54
2013-09-28,7035889.97,5777232.08,6246182.51
2013-09-29,5087376.98,4323294.4,4359895.07
2013-09-30,5768935.23,4823030.74,5117966.77
2013-10-01,5389130.81,4466949.02,4591599.54
2013-10-02,5393969.29,4609508.55,4651419.05
2013-10-03,2026611.74,1803729.14,1672946.51
2013-10-04,2912944.43,2596824.2399999998,2284930.64
2013-10-05,2463961.82,2387600.47,1952842.64
2013-10-06,2875234.12,2643851.2,2170808.86
2013-10-07,2084519.3,1882667.81,1674894.34
2013-10-08,2982770.86,2779465.9,2404722.52
2013-10-09,3524600.98,3078232.9,2822967.5
2013-10-10,4018321.34,3683399.23,3267316.51
2013-10-11,1938342.36,1874877.17,1556262.82
2013-10-12,3170838.37,2991769.76,2562812.71
2013-10-13,3719451.39,3534918.15,2946745.46
2013-10-14,3097590.81,2836153.53,2398025.79
2013-10-15,4062456.23,3833522.77,3281418.54
2013-10-16,4801027.51,4288719.98,3944302.72
2013-10-17,3348412.32,3022923.87,2713865.33
2013-10-18,3238854.55,3140729.2399999998,2560313.88
2013-10-19,3376648.2,2902962.59,2769325.22
2013-10-20,2888479.98,2796066.53,2302148.44
2013-10-21,3409990.75,3081087.46,2751364.44
2013-10-22,3932052.89,3648983.27,3189287.97
2013-10-23,4895108.72,4206539.92,3861527.06
2013-10-24,4333852.18,3953153.46,3403031.49
2013-10-25,3503713.92,3255063.69,2743366.59
2013-10-26,2923604.47,2733483.96,2331573.03
2013-10-27,2949737.88,2622006.1,2365410.99
2013-10-28,3235799.73,2982024.23,2588267.2
2013-10-29,5981959.98,5553503.34,4833162.34
2013-10-30,6960811.52,6210456.09,5563340.73
2013-10-31,5649038.29,5297295.07,4525813.51
2013-11-01,4823330.61,4602897.0,3780905.84
2013-11-02,4871579.51,4251670.84,3874376.58
2013-11-03,2310551.56,2253025.77,1894570.42
2013-11-04,2638652.15,2150621.61,2128739.96
2013-11-05,3529966.51,3258579.4,2818098.89
2013-11-06,2440647.75,2129744.68,1890461.99
2013-11-07,2145217.46,1761836.06,1755584.37
2013-11-08,2200221.02,1994685.98,1790704.8
2013-11-09,2018930.67,1617563.34,1594615.53
2013-11-10,2722218.97,2491880.16,2099682.78
2013-11-11,3495969.18,3283425.99,2676318.51
2013-11-12,5162437.56,4659768.95,3979066.87
2013-11-13,4681263.25,4320186.11,3622930.35
2013-11-14,3118904.74,2869143.07,2460188.52
2013-11-15,3370811.62,3128359.9,2719077.99
2013-11-16,3365890.12,3133660.85,2733920.22
2013-11-17,2416530.15,2345167.64,1906202.04
2013-11-18,2109164.6,1718439.3800000001,1778409.36
2013-11-19,3237660.32,2693871.71,2746026.34
2013-11-20,3321114.32,2635394.54,2983892.23
2013-11-21,2595234.4,1994761.93,2362389.95
2013-11-22,2550262.64,1846862.69,2542345.82
2013-11-23,2054330.57,1404131.79,2011741.48
2013-11-24,2519706.85,1844660.68,2537974.67
2013-11-25,2406331.38,1785087.1,2358037.25
2013-11-26,3107204.99,2227699.5,3083734.78
2013-11-27,3123410.59,2285967.09,3027393.58
2013-11-28,3580033.44,2597243.27,3514991.8
