year,tet_date,baseline_trieu_ngay,pre_week_pct,dip_pct,post_week_pct,recovery_pct
2013,2013-02-10,4.54,-34.1,-27.2,-23.7,-18.3
2014,2014-01-31,5.13,-35.5,-27.2,-45.8,-8.8
2015,2015-02-19,5.18,-19.9,-14.4,18.0,-4.9
2016,2016-02-08,5.75,-36.1,-31.8,-27.0,-25.2
2017,2017-01-28,5.24,-42.2,-9.8,-21.3,-10.0
2018,2018-02-16,5.07,-35.0,-22.4,-21.3,-16.5
2019,2019-02-05,3.11,-3.6,-39.8,-25.6,2.9
2020,2020-01-25,2.88,-47.4,-29.0,-18.1,-16.8
2021,2021-02-12,2.86,-44.4,-24.8,-16.9,-14.0
2022,2022-02-01,3.2,-10.4,-11.3,-46.3,13.6
