region,category,revenue,cogs,margin_pct,share_in_region_pct
Central,Casual,105063790.29,92886795.77501903,11.590096341822138,2.2207504990771922
Central,GenZ,99405831.46,79579337.19837756,19.945001183960148,2.10115729897658
Central,Outdoor,546620423.39,460712765.39367646,15.716144937202714,11.554005187690898
Central,Streetwear,3979913745.41,3475809567.156273,12.666208629146949,84.12408701425532
East,Casual,163090763.41,144638720.95340303,11.313971478697225,2.2376211687239334
East,GenZ,156655569.06,127156559.91623487,18.830488645103223,2.1493296750713276
East,Outdoor,839643387.35,710583382.1261145,15.370811843253126,11.519989105638274
East,Streetwear,6129188243.67,5336429923.449492,12.934148678485101,84.09306005056646
West,Casual,180765291.31,159464374.88792193,11.783742480490057,4.9262940804176365
West,GenZ,78027151.56,63764222.839007385,18.279443034678707,2.126429759033135
West,Outdoor,946446823.68,787973030.2691101,16.744077897024134,25.792979123016675
West,Streetwear,2464157816.92,2136989915.352089,13.277067699212742,67.15429703753256
