year,pct_revenue_with_promo,pct_lineitems_with_promo,avg_discount_value_active_pct,n_promo_active_overlap
2013,39.94059046119607,46.403178346939015,19.654765723309236,6
2014,30.80943093174615,37.28893573106734,15.715236272633593,5
2015,39.397030376107324,46.45493154089716,19.399692937563973,7
2016,29.534077623480048,35.07563672369217,15.537544696066746,5
2017,38.35722956280067,44.440859829611306,20.303148441911112,7
2018,29.425174075961806,33.60751743597935,15.258772277227722,5
2019,38.38437767816303,45.06176961602671,20.658071527366133,7
2020,31.993653604442386,36.666845695257535,14.919730481910063,5
2021,38.863365789217376,44.75495931862091,20.13072292819359,7
2022,31.98312708032246,37.20710307870127,15.044478960745552,5
