year,tet_date,n_promo_overlap_tet,promo_ids_overlap,max_discount_pct_overlap,dip_pct,pre_week_pct
2013,2013-02-10,1,PROMO-0006,15.0,-27.2,-34.1
2014,2014-01-31,1,PROMO-0004,20.0,-27.2,-35.5
2015,2015-02-19,2,PROMO-0011;PROMO-0016,15.0,-14.4,-19.9
2016,2016-02-08,0,,0.0,-31.8,-36.1
2017,2017-01-28,2,PROMO-0020;PROMO-0026,20.0,-9.8,-42.2
2018,2018-02-16,1,PROMO-0027,12.0,-22.4,-35.0
2019,2019-02-05,1,PROMO-0036,15.0,-39.8,-3.6
2020,2020-01-25,1,PROMO-0034,20.0,-29.0,-47.4
2021,2021-02-12,1,PROMO-0046,15.0,-24.8,-44.4
2022,2022-02-01,1,PROMO-0044,20.0,-11.3,-10.4
