year,revenue,qty,ASP,n_orders,n_active_cust,AOV
2013,1657169417.27,392522,4221.851048527216,76849,39384,21563.96852620073
2014,1871845882.8,410283,4562.328643399799,80645,40376,23210.935368590737
2015,1889933826.92,415509,4548.478677766306,82622,40807,22874.462333518917
2016,2104640677.54,409893,5134.609953182904,82247,40933,25589.269852274247
2017,1911164325.28,375640,5087.755098711532,76010,39651,25143.59064965136
2018,1850122456.08,337646,5479.473934475753,69510,37922,26616.63726197669
2019,1136801441.51,202653,5609.595917701687,41601,27312,27326.300846373884
2020,1054512158.79,166880,6318.984652384947,34881,24335,30231.70662509676
2021,1043039819.63,164743,6331.3149549905,34525,23984,30211.146115278785
2022,1169748831.69,171088,6837.117925804265,36004,24696,32489.41316770359
