customer_id,last_order,recency_days,frequency,monetary,R_score,F_score,M_score,segment
1,2021-04-24,616,6,142803.47,4,4,4,Champions
2,2022-07-06,178,2,126255.29000000001,5,2,4,New Customers
3,2012-11-24,3689,2,12001.55,1,2,1,Lost
4,2020-06-28,916,1,10939.06,3,1,1,Promising
5,2019-03-27,1375,5,64179.85999999999,3,3,3,Loyal Customers
6,2021-06-20,559,9,71555.0,4,4,3,Loyal Customers
8,2017-01-01,2190,6,158356.41,2,4,4,Can't Lose Them
9,2019-06-05,1305,1,15926.52,3,1,1,Promising
10,2022-05-06,239,12,321108.55,5,5,5,Champions
11,2017-05-15,2056,4,221384.76,2,3,4,At Risk
12,2021-04-17,623,1,13636.55,4,1,1,New Customers
13,2018-06-08,1667,6,170276.6,2,4,4,Can't Lose Them
14,2018-04-12,1724,3,53410.619999999995,2,2,2,Lost
15,2013-03-28,3565,1,24387.3,1,1,2,Lost
16,2022-04-03,272,5,39366.56,4,3,2,Need Attention
17,2017-12-28,1829,1,11965.31,2,1,1,Lost
18,2018-08-13,1601,5,163744.88999999998,2,3,4,At Risk
20,2022-03-20,286,5,139542.26,4,3,4,Loyal Customers
22,2022-08-29,124,9,164068.0,5,4,4,Champions
23,2022-04-01,274,16,302074.28,4,5,5,Champions
24,2021-06-26,553,8,163504.74,4,4,4,Champions
26,2022-01-29,336,4,33277.07,4,3,2,Need Attention
27,2022-07-13,171,3,69783.4,5,2,3,New Customers
30,2021-07-01,548,2,32212.89,4,2,2,New Customers
32,2020-12-25,736,11,294712.58999999997,3,4,5,Loyal Customers
33,2018-04-02,1734,3,53888.119999999995,2,2,2,Lost
35,2021-08-30,488,7,169662.75,4,4,4,Champions
36,2022-04-20,255,2,47552.22,5,2,2,New Customers
38,2017-02-08,2152,1,18955.84,2,1,1,Lost
41,2019-12-23,1104,4,125673.86,3,3,4,Loyal Customers
42,2019-04-02,1369,3,195598.6,3,2,4,Promising
43,2022-07-03,181,9,237345.07,5,4,4,Champions
44,2015-07-01,2740,3,172411.54,1,2,4,Hibernating
45,2021-05-30,580,9,220382.06,4,4,4,Champions
46,2022-04-02,273,12,361258.64,4,5,5,Champions
47,2022-11-11,50,8,139944.78999999998,5,4,4,Champions
48,2022-06-13,201,11,157539.5,5,4,4,Champions
49,2021-05-06,604,4,106017.75,4,3,3,Loyal Customers
50,2022-02-27,307,11,299793.38,4,4,5,Champions
51,2018-04-20,1716,2,37712.31,2,2,2,Lost
52,2016-10-10,2273,4,152390.96,1,3,4,At Risk
53,2017-04-25,2076,2,24502.43,2,2,2,Lost
55,2013-11-03,3345,1,8873.75,1,1,1,Lost
56,2022-07-10,174,7,188712.06,5,4,4,Champions
57,2022-08-13,140,6,124581.08,5,4,4,Champions
58,2022-10-15,77,6,284423.52,5,4,5,Champions
59,2019-05-03,1338,4,142531.54,3,3,4,Loyal Customers
60,2020-10-30,792,4,104471.86000000002,3,3,3,Loyal Customers
63,2021-10-17,440,4,100994.12000000001,4,3,3,Loyal Customers
64,2018-01-27,1799,2,44478.64,2,2,2,Lost
67,2022-11-06,55,2,153245.65000000002,5,2,4,New Customers
68,2016-03-29,2468,3,45749.61,1,2,2,Lost
69,2020-04-06,999,6,111749.57,3,4,3,Loyal Customers
70,2017-08-01,1978,3,43626.3,2,2,2,Lost
71,2018-10-30,1523,3,30169.520000000004,2,2,2,Lost
74,2021-03-17,654,3,91702.84,4,2,3,New Customers
75,2022-06-27,187,7,154639.2,5,4,4,Champions
76,2020-11-13,778,10,235819.58000000002,3,4,4,Loyal Customers
78,2014-05-28,3139,2,69482.46,1,2,3,Hibernating
79,2020-09-20,832,5,90524.94,3,3,3,Loyal Customers
80,2020-04-14,991,5,149480.2,3,3,4,Loyal Customers
81,2017-04-27,2074,6,174439.26,2,4,4,Can't Lose Them
82,2018-04-23,1713,4,80174.97,2,3,3,At Risk
83,2022-10-16,76,2,58962.020000000004,5,2,3,New Customers
85,2022-11-25,36,7,199806.15,5,4,4,Champions
86,2018-04-21,1715,2,34504.58,2,2,2,Lost
88,2019-06-12,1298,1,83340.8,3,1,3,Promising
89,2019-05-02,1339,4,110042.15,3,3,3,Loyal Customers
90,2022-03-29,277,5,91206.91,4,3,3,Loyal Customers
91,2015-06-14,2757,2,63882.85,1,2,3,Hibernating
92,2015-08-13,2697,3,93885.32,1,2,3,Hibernating
94,2017-06-28,2012,3,64751.3,2,2,3,Hibernating
95,2018-06-30,1645,4,99969.97,2,3,3,At Risk
96,2017-10-04,1914,6,173827.13999999998,2,4,4,Can't Lose Them
98,2019-03-30,1372,7,112690.39,3,4,3,Loyal Customers
101,2021-09-22,465,3,94181.04000000001,4,2,3,New Customers
102,2022-05-24,221,10,152658.6,5,4,4,Champions
103,2020-03-18,1018,10,159464.7,3,4,4,Loyal Customers
104,2021-06-12,567,4,114576.6,4,3,3,Loyal Customers
105,2021-06-23,556,5,109127.54999999999,4,3,3,Loyal Customers
