Date,Revenue,COGS,gross_revenue,gross_cogs,rev_diff_pct,cogs_diff_pct
2012-07-04,5123547.94,3982991.19,5123547.94,3982991.1894381884,0.0,1.4105265835959045e-08
2012-07-05,2751773.45,2150580.23,2751773.45,2150580.2337576686,0.0,1.7472813181636083e-07
2012-07-06,3054029.42,2517632.84,3054029.42,2517632.843361103,0.0,1.3350251361181614e-07
2012-07-07,2667930.94,2108246.62,2667930.94,2108246.620642824,0.0,3.049092931590318e-08
2012-07-08,2360851.9,1808622.79,2360851.9,1808622.794866024,0.0,2.690458198643341e-07
2012-07-09,3548386.46,2787841.68,3548386.46,2787841.68054154,0.0,1.942505798076599e-08
2012-07-10,5234938.62,4044438.84,5234938.62,4044438.8366003237,0.0,8.405804394981753e-08
2012-07-11,5582884.78,4338313.07,5582884.78,4338313.068668959,0.0,3.068108607080237e-08
2012-07-12,5734632.02,4458811.27,5734632.02,4458811.27226482,0.0,5.079425663316556e-08
2012-07-13,5309511.71,4143402.78,5309511.71,4143402.7789606377,0.0,2.5084745607754048e-08
2012-07-14,3820831.41,3075464.87,3820831.41,3075464.8680720604,0.0,6.26877493572528e-08
2012-07-15,3948841.28,3154482.05,3948841.28,3154482.049609721,0.0,1.2372194070164403e-08
2012-07-16,3503801.49,2708219.59,3503801.49,2708219.591022515,0.0,3.775599868603674e-08
2012-07-17,4476729.49,3463061.65,4476729.49,3463061.649118149,0.0,2.5464482258117012e-08
2012-07-18,5184141.46,4072012.16,5184141.46,4072012.15845807,0.0,3.7866543375535936e-08
2012-07-19,6421487.11,5007270.91,6421487.11,5007270.912521167,0.0,5.035011333020163e-08
2012-07-20,5171470.46,4213989.64,5171470.46,4213989.639633853,0.0,8.688836649402667e-09
2012-07-21,3442157.02,2746075.45,3442157.02,2746075.4536195495,0.0,1.3180808015759123e-07
2012-07-22,3117550.57,2531656.38,3117550.57,2531656.3821244063,0.0,8.391369437516959e-08
2012-07-23,4730517.69,3685006.66,4730517.69,3685006.664936399,0.0,1.339590235177004e-07
2012-07-24,4096496.12,3248450.65,4096496.12,3248450.653393645,0.0,1.044696471734142e-07
2012-07-25,5246688.08,4140019.37,5246688.08,4140019.3709758664,0.0,2.3571540351886682e-08
2012-07-26,5851965.06,4579171.74,5851965.06,4579171.740512137,0.0,1.118405482098768e-08
2012-07-27,5156699.45,3989402.2,5156699.45,3989402.2008385034,0.0,2.1018267888331778e-08
2012-07-28,4326956.84,3403662.59,4326956.84,3403662.5946260374,0.0,1.3591351758967292e-07
2012-07-29,4804199.65,3819645.91,4804199.65,3819645.910989276,0.0,2.5899677817676976e-08
2012-07-30,6586130.95,5195109.56,6586130.95,5195109.555522098,0.0,8.619455148188306e-08
2012-07-31,9151622.14,7142891.18,9151622.14,7142891.183717897,0.0,5.205031640793688e-08
2012-08-01,9148357.3,7308514.33,9148357.3,7308514.329521848,0.0,6.5423992358578575e-09
2012-08-02,9692427.0,7537501.15,9692427.0,7537501.148537517,0.0,1.9402766904996414e-08
2012-08-03,9297269.95,7118808.46,9297269.95,7118808.464325115,0.0,6.075616651583621e-08
