feature,type,target,pearson_r,pearson_p,spearman_r,spearman_p,group_mean_diff
year,continuous,Revenue,-0.2776,0.0,-0.341,0.0,
year,continuous,COGS,-0.2697,0.0,-0.3281,0.0,
month,continuous,Revenue,-0.2043,0.0,-0.2388,0.0,
month,continuous,COGS,-0.1603,0.0,-0.1822,0.0,
quarter,continuous,Revenue,-0.2144,0.0,-0.2482,0.0,
quarter,continuous,COGS,-0.1745,0.0,-0.1975,0.0,
day_of_week,continuous,Revenue,-0.067,3.3e-05,-0.0735,5e-06,
day_of_week,continuous,COGS,-0.0668,3.5e-05,-0.0765,2e-06,
day_of_month,continuous,Revenue,0.2562,0.0,0.2918,0.0,
day_of_month,continuous,COGS,0.2646,0.0,0.3037,0.0,
month_sin,continuous,Revenue,0.1829,0.0,0.2157,0.0,
month_sin,continuous,COGS,0.1329,0.0,0.1674,0.0,
month_cos,continuous,Revenue,-0.4976,0.0,-0.5242,0.0,
month_cos,continuous,COGS,-0.503,0.0,-0.5416,0.0,
dow_sin,continuous,Revenue,0.0975,0.0,0.0848,0.0,
dow_sin,continuous,COGS,0.0978,0.0,0.0896,0.0,
dow_cos,continuous,Revenue,0.0003,0.986762,0.0541,0.000801,
dow_cos,continuous,COGS,-0.0015,0.926847,0.0542,0.000791,
days_from_tet,continuous,Revenue,0.3667,0.0,0.3806,0.0,
days_from_tet,continuous,COGS,0.3459,0.0,0.3569,0.0,
trend_index,continuous,Revenue,-0.2958,0.0,-0.3591,0.0,
trend_index,continuous,COGS,-0.2836,0.0,-0.34,0.0,
is_post_2019,binary,Revenue,-0.3804,0.0,-0.4283,0.0,-2055697.25
is_post_2019,binary,COGS,-0.3741,0.0,-0.4196,0.0,-1709677.05
is_post_2019_transition,binary,Revenue,-0.322,0.0,-0.3688,0.0,-1870329.84
is_post_2019_transition,binary,COGS,-0.3167,0.0,-0.3607,0.0,-1555622.99
is_low_margin_season,binary,Revenue,-0.2276,0.0,-0.2352,0.0,-1204030.17
is_low_margin_season,binary,COGS,-0.146,0.0,-0.1339,0.0,-653135.48
is_vn_holiday,binary,Revenue,0.0823,0.0,0.0345,0.032626,2074852.13
is_vn_holiday,binary,COGS,0.0776,1e-06,0.0397,0.013868,1654951.68
