Date,year,month,quarter,day_of_week,day_of_month,month_sin,month_cos,dow_sin,dow_cos,is_post_2019,is_post_2019_transition,days_from_tet,is_low_margin_season,trend_index,is_holiday_302_305,is_holiday_qk,is_christmas,is_partial_year_2012,Revenue,COGS
2012-07-04,2012,7,3,2,4,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,163,1,0,0,0,0,1,5123547.94,3982991.19
2012-07-05,2012,7,3,3,5,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,164,1,1,0,0,0,1,2751773.45,2150580.23
2012-07-06,2012,7,3,4,6,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,165,1,2,0,0,0,1,3054029.42,2517632.84
2012-07-07,2012,7,3,5,7,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,166,1,3,0,0,0,1,2667930.94,2108246.62
2012-07-08,2012,7,3,6,8,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,167,1,4,0,0,0,1,2360851.9,1808622.79
2012-07-09,2012,7,3,0,9,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0,0,168,1,5,0,0,0,1,3548386.46,2787841.68
2012-07-10,2012,7,3,1,10,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,169,1,6,0,0,0,1,5234938.62,4044438.84
2012-07-11,2012,7,3,2,11,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,170,1,7,0,0,0,1,5582884.78,4338313.07
2012-07-12,2012,7,3,3,12,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,171,1,8,0,0,0,1,5734632.02,4458811.27
2012-07-13,2012,7,3,4,13,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,172,1,9,0,0,0,1,5309511.71,4143402.78
2012-07-14,2012,7,3,5,14,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,173,1,10,0,0,0,1,3820831.41,3075464.87
2012-07-15,2012,7,3,6,15,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,174,1,11,0,0,0,1,3948841.28,3154482.05
2012-07-16,2012,7,3,0,16,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0,0,175,1,12,0,0,0,1,3503801.49,2708219.59
2012-07-17,2012,7,3,1,17,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,176,1,13,0,0,0,1,4476729.49,3463061.65
2012-07-18,2012,7,3,2,18,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,177,1,14,0,0,0,1,5184141.46,4072012.16
2012-07-19,2012,7,3,3,19,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,178,1,15,0,0,0,1,6421487.11,5007270.91
2012-07-20,2012,7,3,4,20,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,179,1,16,0,0,0,1,5171470.46,4213989.64
2012-07-21,2012,7,3,5,21,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,180,1,17,0,0,0,1,3442157.02,2746075.45
2012-07-22,2012,7,3,6,22,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,181,1,18,0,0,0,1,3117550.57,2531656.38
2012-07-23,2012,7,3,0,23,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0,0,182,1,19,0,0,0,1,4730517.69,3685006.66
2012-07-24,2012,7,3,1,24,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,183,1,20,0,0,0,1,4096496.12,3248450.65
2012-07-25,2012,7,3,2,25,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,184,1,21,0,0,0,1,5246688.08,4140019.37
2012-07-26,2012,7,3,3,26,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,185,1,22,0,0,0,1,5851965.06,4579171.74
2012-07-27,2012,7,3,4,27,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,186,1,23,0,0,0,1,5156699.45,3989402.2
2012-07-28,2012,7,3,5,28,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,187,1,24,0,0,0,1,4326956.84,3403662.59
2012-07-29,2012,7,3,6,29,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,188,1,25,0,0,0,1,4804199.65,3819645.91
2012-07-30,2012,7,3,0,30,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0,0,189,1,26,0,0,0,1,6586130.95,5195109.56
2012-07-31,2012,7,3,1,31,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,190,1,27,0,0,0,1,9151622.14,7142891.18
2012-08-01,2012,8,3,2,1,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,191,1,28,0,0,0,1,9148357.3,7308514.33
2012-08-02,2012,8,3,3,2,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,192,1,29,0,0,0,1,9692427.0,7537501.15
2012-08-03,2012,8,3,4,3,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,-191,1,30,0,0,0,1,9297269.95,7118808.46
2012-08-04,2012,8,3,5,4,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,-190,1,31,0,0,0,1,6384195.03,5087528.11
2012-08-05,2012,8,3,6,5,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,-189,1,32,0,0,0,1,2359224.19,1863413.11
2012-08-06,2012,8,3,0,6,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,-188,1,33,0,0,0,1,3630003.7,2922718.71
2012-08-07,2012,8,3,1,7,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,-187,1,34,0,0,0,1,2240253.44,1781265.84
2012-08-08,2012,8,3,2,8,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,-186,1,35,0,0,0,1,2617553.36,1997006.42
2012-08-09,2012,8,3,3,9,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,-185,1,36,0,0,0,1,4478691.52,3621672.71
2012-08-10,2012,8,3,4,10,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,-184,1,37,0,0,0,1,3412496.65,2699279.56
2012-08-11,2012,8,3,5,11,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,-183,1,38,0,0,0,1,2732604.35,2168668.05
2012-08-12,2012,8,3,6,12,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,-182,1,39,0,0,0,1,3388181.83,2654275.25
2012-08-13,2012,8,3,0,13,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,-181,1,40,0,0,0,1,3928170.01,3189564.96
2012-08-14,2012,8,3,1,14,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,-180,1,41,0,0,0,1,4033912.16,3258198.58
2012-08-15,2012,8,3,2,15,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,-179,1,42,0,0,0,1,3780293.26,2886923.59
2012-08-16,2012,8,3,3,16,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,-178,1,43,0,0,0,1,5249978.18,4222455.97
2012-08-17,2012,8,3,4,17,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,-177,1,44,0,0,0,1,4089284.05,3238908.92
2012-08-18,2012,8,3,5,18,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,-176,1,45,0,0,0,1,3450015.71,2808916.94
2012-08-19,2012,8,3,6,19,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,-175,1,46,0,0,0,1,3904300.93,3006801.4
2012-08-20,2012,8,3,0,20,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,-174,1,47,0,0,0,1,3541027.32,2827038.81
2012-08-21,2012,8,3,1,21,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,-173,1,48,0,0,0,1,4147483.23,3364364.64
2012-08-22,2012,8,3,2,22,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,-172,1,49,0,0,0,1,4597682.81,3562468.33
2012-08-23,2012,8,3,3,23,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,-171,1,50,0,0,0,1,5478869.55,4195738.04
2012-08-24,2012,8,3,4,24,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,-170,1,51,0,0,0,1,4637850.57,3632210.67
2012-08-25,2012,8,3,5,25,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,-169,1,52,0,0,0,1,3589566.28,2784342.75
2012-08-26,2012,8,3,6,26,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,-168,1,53,0,0,0,1,4280204.53,3476942.48
2012-08-27,2012,8,3,0,27,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,-167,1,54,0,0,0,1,3038895.84,2365260.68
2012-08-28,2012,8,3,1,28,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,-166,1,55,0,0,0,1,9508676.62,7439851.59
2012-08-29,2012,8,3,2,29,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,-165,1,56,0,0,0,1,9260558.32,7336294.54
2012-08-30,2012,8,3,3,30,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,-164,1,57,0,0,0,1,10086534.1,7950911.72
2012-08-31,2012,8,3,4,31,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,-163,1,58,0,0,0,1,9104678.52,7277460.12
