target,feature,coef,std_err,p_value
Revenue,const,3815955.6323,105302.7988,0.0
Revenue,month_sin,527913.3721,70098.1076,0.0
Revenue,month_cos,-1893913.3409,59574.7219,0.0
Revenue,dow_sin,362618.5543,42967.3466,0.0
Revenue,days_from_tet,-483.3413,451.9417,0.2849
Revenue,is_post_2019,-2595876.0132,174696.7485,0.0
Revenue,is_post_2019_transition,-55140.177,119096.1657,0.6434
Revenue,is_low_margin_season,-534354.5572,85997.0666,0.0
Revenue,trend_index,274.1986,59.1843,0.0
Revenue,day_of_month,76768.3979,3454.058,0.0
COGS,const,3136998.9484,90555.065,0.0
COGS,month_sin,506745.4922,60280.8164,0.0
COGS,month_cos,-1685709.2525,51231.2386,0.0
COGS,dow_sin,308036.6971,36949.7384,0.0
COGS,days_from_tet,-774.7264,388.6469,0.0463
COGS,is_post_2019,-2080274.644,150230.3413,0.0
COGS,is_post_2019_transition,-77331.4656,102416.6607,0.4503
COGS,is_low_margin_season,15433.3307,73953.1147,0.8347
COGS,trend_index,184.6943,50.8955,0.0003
COGS,day_of_month,67257.92,2970.3147,0.0
