Date,Revenue,COGS
2023-01-01,1170445.99,809628.04
2023-01-02,1530213.59,1116847.09
2023-01-03,1889981.19,1424066.14
2023-01-04,2036364.33,1550031.72
2023-01-05,1916661.39,1449977.92
2023-01-06,1678539.01,1249336.03
2023-01-07,1558836.08,1149282.23
2023-01-08,1705219.22,1275247.81
2023-01-09,2064986.82,1582466.86
2023-01-10,2424754.42,1889685.91
2023-01-11,2571137.56,2015651.49
2023-01-12,2451434.62,1915597.69
2023-01-13,2213312.24,1714955.8
2023-01-14,2093609.3,1614902.0
2023-01-15,2239992.44,1740867.58
2023-01-16,2599760.04,2048086.63
2023-01-17,2959527.65,2355305.68
2023-01-18,3105910.79,2481271.26
2023-01-19,2986207.85,2381217.46
2023-01-20,2748085.47,2180575.57
2023-01-21,2628382.53,2080521.77
2023-01-22,2774765.67,2206487.35
2023-01-23,3134533.27,2513706.4
2023-01-24,3494300.87,2820925.46
2023-01-25,3640684.01,2946891.04
2023-01-26,3520981.07,2846837.24
2023-01-27,3282858.69,2646195.35
2023-01-28,3163155.76,2546141.55
2023-01-29,3309538.9,2672107.13
2023-01-30,3669306.5,2979326.18
2023-01-31,4029074.1,3286545.23
2023-02-01,2427836.86,1936156.06
2023-02-02,2308133.92,1836102.26
2023-02-03,2070011.54,1635460.37
2023-02-04,1950308.61,1535406.57
2023-02-05,2096691.75,1661372.15
2023-02-06,2456459.35,1968591.2
2023-02-07,2816226.95,2275810.25
2023-02-08,2962610.09,2401775.83
2023-02-09,2842907.15,2301722.03
2023-02-10,2604784.77,2101080.14
2023-02-11,2485081.83,2001026.34
2023-02-12,2631464.97,2126991.92
2023-02-13,2991232.57,2434210.97
2023-02-14,3351000.18,2741430.02
2023-02-15,3497383.32,2867395.6
2023-02-16,3377680.38,2767341.8
2023-02-17,3139558.0,2566699.91
2023-02-18,3019855.06,2466646.11
2023-02-19,3166238.2,2592611.69
2023-02-20,3526005.8,2899830.74
2023-02-21,3885773.4,3207049.8
2023-02-22,4032156.54,3333015.38
2023-02-23,3912453.61,3232961.57
2023-02-24,3674331.22,3032319.69
2023-02-25,3554628.29,2932265.88
2023-02-26,3701011.43,3058231.46
2023-02-27,4060779.03,3365450.52
2023-02-28,4420546.63,3672669.57
2023-03-01,3123139.8,2575388.15
2023-03-02,3003436.86,2475334.35
2023-03-03,2765314.48,2274692.46
2023-03-04,2645611.54,2174638.66
2023-03-05,2791994.68,2300604.24
2023-03-06,3151762.28,2607823.29
2023-03-07,3511529.88,2915042.34
2023-03-08,3657913.02,3041007.93
2023-03-09,3538210.09,2940954.12
2023-03-10,3300087.7,2740312.24
2023-03-11,3180384.77,2640258.43
2023-03-12,3326767.91,2766224.01
2023-03-13,3686535.51,3073443.07
2023-03-14,4046303.11,3380662.12
2023-03-15,4192686.25,3506627.7
2023-03-16,4072983.31,3406573.9
2023-03-17,3834860.93,3205932.01
2023-03-18,3715157.99,3105878.21
2023-03-19,3861541.13,3231843.79
2023-03-20,4221308.74,3539062.84
2023-03-21,4581076.34,3846281.89
2023-03-22,4727459.48,3972247.47
2023-03-23,4607756.54,3872193.67
2023-03-24,4369634.16,3671551.78
2023-03-25,4249931.22,3571497.98
2023-03-26,4396314.36,3697463.56
2023-03-27,4756081.96,4004682.61
2023-03-28,5115849.56,4311901.66
2023-03-29,5262232.7,4437867.24
2023-03-30,5142529.77,4337813.44
2023-03-31,4904407.38,4137171.55
2023-04-01,2994956.83,2486521.14
2023-04-02,3141339.96,2612486.72
2023-04-03,3501107.57,2919705.77
2023-04-04,3860875.17,3226924.82
2023-04-05,4007258.31,3352890.4
2023-04-06,3887555.37,3252836.6
2023-04-07,3649432.99,3052194.71
2023-04-08,3529730.05,2952140.91
2023-04-09,3676113.19,3078106.49
2023-04-10,4035880.79,3385325.54
