baseline,target,holdout,MAPE,WAPE,RMSE,MAE,n_zero_actual
B1_seasonal_naive,Revenue,main_548d,27.479494497742486,25.180842714687618,1022856.3022178556,724009.3706934307,0
B1_seasonal_naive,Revenue,secondary_2022,24.390162885269223,22.66544432593739,990174.3804458798,726380.1923287672,0
B2_month_mean,Revenue,main_548d,78.68045187397252,56.50618775665005,1899771.1801889404,1624687.8590014086,0
B2_month_mean,Revenue,secondary_2022,68.69801025350058,50.08144712865097,1915041.643249298,1605005.8703584652,0
B3_linear,Revenue,main_548d,56.92992095161302,46.97100452248178,1650677.7213890094,1350528.5669142546,0
B3_linear,Revenue,secondary_2022,60.50862647222729,48.27434576726739,1838392.9592882802,1547092.0427906886,0
B3b_linear_interaction,Revenue,main_548d,59.72924124058843,46.5432506020195,1590459.4888203628,1338229.6200412456,0
B3b_linear_interaction,Revenue,secondary_2022,69.20346433283436,50.239685499921315,1811365.9665955363,1610077.0799453696,0
B1_seasonal_naive,COGS,main_548d,24.081509634940044,23.092958299808867,830134.3716398366,601979.8383759123,0
B1_seasonal_naive,COGS,secondary_2022,24.752864119149734,23.146652769098356,867745.9226351595,647104.4168219178,0
B2_month_mean,COGS,main_548d,70.79688433937444,52.21818823458505,1591632.2784661923,1361207.0010968947,0
B2_month_mean,COGS,secondary_2022,66.51677867556255,49.065561730236084,1638987.4367846516,1371712.01496021,0
B3_linear,COGS,main_548d,50.45941913635933,42.27731074595274,1389626.6835062595,1102071.3916080424,0
B3_linear,COGS,secondary_2022,55.89213764148665,44.77948588244614,1537729.646897127,1251887.406209808,0
B3b_linear_interaction,COGS,main_548d,52.160556790391,41.22004192511454,1332933.7293515722,1074510.846717034,0
B3b_linear_interaction,COGS,secondary_2022,62.66627433597536,45.930132405765136,1505235.7351337397,1284055.7052234157,0
