customer_id,zip,city,signup_date,gender,age_group,acquisition_channel
59,15212,Son Tay,2017-01-22,Male,55+,social_media
114,15223,Ha Long,2017-04-16,Male,18-24,organic_search
161,15235,Lao Cai,2015-05-04,Female,35-44,paid_search
168,15236,Hanoi,2022-03-23,Female,18-24,paid_search
169,15236,Hanoi,2017-10-16,Male,18-24,referral
172,15237,Lao Cai,2021-06-12,Female,55+,social_media
454,16056,Cam Pha,2018-05-15,Female,35-44,email_campaign
478,16066,Bac Giang,2022-06-04,Female,55+,organic_search
480,16066,Bac Giang,2022-12-08,Female,45-54,organic_search
604,16201,Hanoi,2022-11-19,Female,35-44,organic_search
656,16226,Viet Tri,2019-12-01,Female,35-44,social_media
660,16226,Viet Tri,2016-11-01,Female,35-44,social_media
799,16314,Nam Dinh,2020-11-28,Male,25-34,referral
852,16341,Cam Pha,2014-05-18,Non-binary,25-34,organic_search
896,16364,Bac Giang,2019-10-04,Female,35-44,email_campaign
975,16602,Viet Tri,2018-11-16,Male,45-54,social_media
1017,16624,Thai Nguyen,2016-06-11,Male,35-44,social_media
1131,16662,Bac Giang,2022-06-24,Male,25-34,organic_search
1132,16662,Bac Giang,2018-12-14,Female,18-24,paid_search
1238,16692,Thai Nguyen,2020-04-25,Female,25-34,organic_search
1276,16830,Bac Ninh,2019-12-30,Male,18-24,paid_search
1399,15001,Ninh Binh,2016-03-05,Male,25-34,social_media
1415,15005,Lao Cai,2018-02-19,Non-binary,35-44,organic_search
1470,15021,Hai Phong,2019-10-11,Male,35-44,organic_search
1477,15024,Phu Ly,2022-08-29,Male,45-54,social_media
1482,15025,Bac Ninh,2019-02-02,Female,25-34,organic_search
1484,15025,Bac Ninh,2022-03-01,Female,25-34,paid_search
1588,15052,Thai Nguyen,2022-07-12,Male,25-34,social_media
1632,15063,Hanoi,2022-08-05,Female,35-44,referral
1758,15108,Son Tay,2019-06-12,Male,55+,organic_search
1876,15301,Ha Long,2022-02-08,Male,35-44,organic_search
1879,15301,Ha Long,2016-04-21,Female,18-24,email_campaign
1911,15317,Bac Giang,2020-11-21,Female,45-54,social_media
1922,15321,Phu Ly,2020-06-02,Male,25-34,direct
2356,15473,Hanoi,2022-06-08,Male,25-34,organic_search
2586,15563,Thai Nguyen,2016-09-24,Female,35-44,social_media
2590,15563,Thai Nguyen,2020-04-18,Male,45-54,paid_search
2597,15601,Bac Ninh,2015-09-09,Female,55+,referral
2740,15639,Thai Nguyen,2021-11-12,Female,18-24,direct
2775,15650,Cam Pha,2015-11-15,Female,35-44,paid_search
2816,15668,Hai Phong,2018-05-19,Female,25-34,organic_search
2820,15668,Hai Phong,2020-05-29,Female,35-44,social_media
2851,15677,Ninh Binh,2014-02-26,Male,45-54,social_media
3063,15742,Viet Tri,2015-02-11,Female,25-34,referral
3116,15771,Bac Ninh,2016-10-26,Male,35-44,email_campaign
3166,15801,Viet Tri,2018-12-23,Male,35-44,paid_search
3266,15860,Phu Ly,2022-03-31,Male,35-44,organic_search
3308,15902,Thai Nguyen,2022-07-29,Female,18-24,paid_search
3383,15930,Viet Tri,2018-11-12,Male,25-34,referral
3451,18049,Ha Long,2022-06-06,Female,25-34,email_campaign
3461,18055,Phu Ly,2019-06-28,Male,25-34,social_media
3479,18068,Lao Cai,2022-03-26,Male,18-24,organic_search
3570,18914,Son Tay,2014-10-06,Non-binary,35-44,paid_search
3666,18944,Hanoi,2021-03-30,Male,25-34,social_media
3678,18947,Hanoi,2021-04-30,Female,25-34,organic_search
3804,19002,Cam Pha,2021-03-01,Female,25-34,social_media
3894,19026,Ha Long,2020-12-18,Female,25-34,direct
3898,19027,Ha Long,2022-02-24,Female,25-34,organic_search
3963,19040,Hai Phong,2017-04-23,Male,45-54,organic_search
4277,19380,Thai Nguyen,2021-12-08,Male,55+,social_media
4286,19382,Phu Ly,2017-01-14,Female,35-44,referral
4289,19382,Phu Ly,2018-10-02,Female,45-54,email_campaign
4372,19438,Lao Cai,2019-09-10,Female,45-54,paid_search
4445,19468,Ha Long,2016-03-17,Male,25-34,organic_search
4536,19103,Son Tay,2020-10-06,Female,55+,organic_search
4607,19123,Hanoi,2021-04-29,Male,35-44,social_media
4674,19136,Viet Tri,2017-07-17,Male,45-54,email_campaign
4935,16506,Bac Giang,2020-06-20,Male,25-34,social_media
4937,16507,Lao Cai,2021-03-20,Male,35-44,paid_search
4949,16509,Lao Cai,2021-05-02,Male,45-54,organic_search
4979,16701,Hanoi,2018-10-08,Male,25-34,organic_search
5075,16803,Nam Dinh,2018-02-05,Female,35-44,social_media
5167,16866,Cam Pha,2017-12-02,Female,45-54,paid_search
5326,16947,Viet Tri,2019-05-01,Female,45-54,organic_search
5379,17051,Hai Phong,2017-09-29,Male,35-44,paid_search
5527,17760,Hanoi,2015-08-26,Female,35-44,paid_search
5528,17760,Hanoi,2021-12-11,Male,25-34,organic_search
5677,17842,Thai Nguyen,2020-06-07,Female,35-44,organic_search
5977,17019,Thai Nguyen,2022-05-14,Male,45-54,paid_search
5978,17019,Thai Nguyen,2018-03-10,Male,45-54,referral
5980,17019,Thai Nguyen,2018-08-02,Male,25-34,paid_search
6037,17033,Viet Tri,2021-04-13,Female,25-34,social_media
6121,17057,Lao Cai,2022-06-30,Male,35-44,social_media
6183,17078,Hai Phong,2019-09-26,Female,25-34,email_campaign
6624,17325,Cam Pha,2019-11-07,Female,25-34,email_campaign
6766,17404,Cam Pha,2020-07-06,Male,35-44,referral
6839,17522,Bac Giang,2018-11-22,Female,25-34,paid_search
6886,17545,Uong Bi,2022-01-21,Male,35-44,social_media
6990,17601,Hanoi,2021-11-26,Female,45-54,paid_search
7014,17980,Lao Cai,2021-01-25,Female,55+,paid_search
7033,19363,Ha Long,2017-10-08,Male,45-54,social_media
7244,17967,Bac Ninh,2013-10-08,Male,35-44,email_campaign
7310,18017,Bac Ninh,2020-02-21,Male,25-34,social_media
7331,18037,Ha Long,2021-11-03,Female,35-44,email_campaign
7349,18042,Bac Ninh,2018-10-17,Female,25-34,paid_search
7372,18052,Bac Ninh,2021-06-19,Female,45-54,email_campaign
7421,18071,Ha Long,2018-01-02,Female,25-34,referral
7655,18322,Ha Long,2018-07-26,Female,35-44,paid_search
7816,18661,Thai Nguyen,2018-01-12,Female,25-34,paid_search
7830,19506,Ninh Binh,2017-08-28,Male,18-24,paid_search
7833,19508,Viet Tri,2021-09-01,Female,55+,social_media
7879,19530,Bac Giang,2021-12-19,Male,35-44,social_media
8061,18407,Hai Phong,2013-08-16,Female,25-34,organic_search
8068,18411,Son Tay,2019-11-29,Male,25-34,paid_search
8069,18411,Son Tay,2021-10-14,Male,18-24,organic_search
8269,18504,Thai Nguyen,2022-01-14,Male,35-44,direct
8315,18519,Phu Ly,2020-05-04,Male,55+,paid_search
8332,18618,Lao Cai,2019-06-30,Female,25-34,email_campaign
8451,18801,Viet Tri,2022-10-28,Female,35-44,paid_search
8592,16125,Nam Dinh,2020-08-27,Male,45-54,paid_search
8595,16125,Nam Dinh,2018-11-25,Female,18-24,social_media
8642,16159,Uong Bi,2022-08-12,Male,25-34,social_media
8764,10576,Hai Phong,2022-08-28,Female,45-54,social_media
8792,10590,Bac Ninh,2022-05-26,Female,25-34,social_media
8894,14006,Bac Giang,2018-02-28,Male,45-54,social_media
8974,14033,Ninh Binh,2021-12-27,Female,25-34,social_media
8993,14037,Hanoi,2015-11-28,Male,25-34,email_campaign
9031,14051,Son Tay,2016-11-20,Male,35-44,referral
9157,14094,Bac Giang,2019-01-14,Male,18-24,organic_search
9206,14120,Hanoi,2020-04-09,Male,25-34,direct
9319,14174,Bac Ninh,2020-10-15,Female,18-24,paid_search
9473,14304,Son Tay,2014-09-29,Female,55+,email_campaign
9525,14424,Hanoi,2013-06-11,Male,25-34,email_campaign
9583,14456,Thai Nguyen,2017-11-11,Female,35-44,referral
9899,14564,Uong Bi,2016-01-31,Female,25-34,direct
9999,14611,Ninh Binh,2018-01-27,Male,55+,paid_search
10046,14622,Bac Giang,2017-12-18,Male,25-34,referral
10441,14821,Son Tay,2018-08-26,Female,35-44,organic_search
10479,14840,Ninh Binh,2016-03-21,Female,35-44,email_campaign
10606,10307,Hai Phong,2021-10-25,Female,18-24,organic_search
10648,10453,Uong Bi,2019-11-26,Female,45-54,direct
10712,10466,Uong Bi,2021-08-15,Female,25-34,paid_search
10737,10471,Hai Phong,2019-10-07,Female,35-44,email_campaign
10741,10472,Bac Ninh,2021-02-08,Male,25-34,social_media
10813,10530,Cam Pha,2013-08-16,Female,25-34,paid_search
11011,10913,Bac Ninh,2017-10-01,Male,35-44,paid_search
11148,11003,Hanoi,2013-09-10,Male,45-54,social_media
11220,11102,Cam Pha,2020-07-07,Female,35-44,referral
11379,11229,Bac Giang,2022-01-29,Female,45-54,social_media
11538,11375,Hanoi,2014-09-10,Female,25-34,direct
11631,11423,Thai Nguyen,2021-06-24,Female,25-34,social_media
11672,11433,Bac Ninh,2019-08-29,Male,45-54,organic_search
11700,11501,Uong Bi,2013-01-28,Male,45-54,social_media
11712,11510,Viet Tri,2022-01-11,Female,45-54,direct
11714,11510,Viet Tri,2020-08-01,Male,25-34,organic_search
11783,11557,Cam Pha,2017-11-10,Male,25-34,organic_search
11837,11572,Lao Cai,2021-04-06,Male,25-34,social_media
11865,11580,Uong Bi,2013-08-17,Female,55+,paid_search
11891,11598,Hanoi,2018-10-23,Female,35-44,referral
11966,11713,Bac Ninh,2021-12-26,Male,25-34,social_media
12014,11722,Bac Giang,2022-03-23,Non-binary,25-34,organic_search
12024,11725,Phu Ly,2018-04-19,Female,45-54,organic_search
12029,11726,Viet Tri,2020-05-08,Female,35-44,paid_search
12212,11777,Cam Pha,2019-06-15,Female,35-44,organic_search
12213,11777,Cam Pha,2022-07-06,Female,18-24,email_campaign
12322,11901,Bac Giang,2021-03-18,Female,45-54,social_media
12349,11934,Hai Phong,2017-09-05,Male,18-24,paid_search
12402,11949,Ha Long,2016-02-15,Male,25-34,organic_search
12481,11967,Viet Tri,2021-10-14,Male,35-44,organic_search
12502,11972,Nam Dinh,2017-12-17,Female,25-34,social_media
12517,11976,Hanoi,2017-10-29,Male,45-54,referral
12621,10019,Hai Phong,2018-11-08,Female,45-54,referral
12622,10019,Hai Phong,2019-11-05,Female,55+,organic_search
12634,10022,Uong Bi,2013-08-03,Male,25-34,organic_search
12897,10940,Bac Giang,2020-09-07,Non-binary,45-54,organic_search
12962,10990,Nam Dinh,2021-01-15,Male,25-34,organic_search
12964,10990,Nam Dinh,2018-01-24,Female,25-34,social_media
13246,12083,Nam Dinh,2021-10-20,Female,55+,direct
13426,12148,Son Tay,2019-08-08,Female,35-44,organic_search
13471,12158,Cam Pha,2022-12-20,Female,25-34,organic_search
13578,12185,Bac Giang,2021-03-13,Male,45-54,direct
13748,12402,Lao Cai,2014-11-21,Female,35-44,paid_search
14016,12477,Phu Ly,2019-08-22,Male,18-24,email_campaign
14124,12515,Viet Tri,2020-07-12,Male,18-24,organic_search
14287,12572,Hai Phong,2019-05-04,Female,45-54,paid_search
14351,12590,Cam Pha,2018-09-14,Female,25-34,organic_search
14417,12729,Phu Ly,2019-09-16,Male,35-44,organic_search
14545,12769,Ninh Binh,2020-07-11,Female,35-44,organic_search
14637,12804,Lao Cai,2014-01-13,Female,25-34,organic_search
15269,13027,Uong Bi,2021-03-30,Male,35-44,email_campaign
15438,13077,Nam Dinh,2019-07-27,Male,25-34,direct
15441,13077,Nam Dinh,2020-08-16,Female,25-34,social_media
15526,13110,Phu Ly,2015-04-19,Female,25-34,email_campaign
15984,13346,Thai Nguyen,2021-08-04,Non-binary,35-44,social_media
16144,13431,Hanoi,2014-08-19,Female,25-34,social_media
16180,13440,Phu Ly,2019-06-17,Female,35-44,social_media
16344,13502,Nam Dinh,2020-02-20,Female,18-24,paid_search
16744,13736,Cam Pha,2020-06-14,Male,25-34,paid_search
16823,13760,Ninh Binh,2015-01-16,Female,18-24,paid_search
16824,13760,Ninh Binh,2019-06-01,Female,35-44,email_campaign
17339,32911,Uong Bi,2021-09-20,Male,55+,social_media
17352,32922,Son Tay,2018-10-19,Female,45-54,organic_search
17374,32927,Bac Ninh,2016-10-22,Male,55+,organic_search
17437,32953,Hanoi,2019-04-30,Non-binary,45-54,organic_search
17486,32962,Ha Long,2022-04-25,Male,45-54,social_media
17572,33015,Lao Cai,2019-05-30,Male,45-54,direct
17691,33040,Viet Tri,2020-09-17,Male,25-34,referral
17761,33064,Lao Cai,2017-10-23,Female,18-24,referral
17884,33160,Nam Dinh,2022-11-05,Female,35-44,social_media
17909,33304,Phu Ly,2021-01-13,Male,35-44,referral
17960,33314,Lao Cai,2020-03-15,Male,35-44,email_campaign
18114,33407,Viet Tri,2021-03-14,Female,25-34,social_media
18184,33421,Thai Nguyen,2017-04-02,Male,35-44,direct
18262,33441,Nam Dinh,2022-08-17,Non-binary,45-54,paid_search
18328,33463,Son Tay,2020-04-01,Female,55+,social_media
18440,33498,Phu Ly,2017-05-30,Female,45-54,referral
18515,33541,Bac Ninh,2020-04-10,Female,45-54,paid_search
18770,33617,Hanoi,2020-08-29,Female,18-24,paid_search
18921,33704,Thai Nguyen,2018-12-31,Female,45-54,social_media
19073,33766,Ninh Binh,2022-07-05,Female,25-34,direct
19105,33773,Ha Long,2018-01-20,Female,45-54,referral
19106,33773,Ha Long,2019-12-15,Male,25-34,organic_search
19191,33805,Lao Cai,2016-11-14,Male,45-54,direct
19212,33811,Cam Pha,2014-01-10,Male,35-44,social_media
19374,33860,Hai Phong,2019-12-10,Female,25-34,organic_search
19514,33912,Son Tay,2015-08-29,Male,55+,paid_search
19547,33919,Thai Nguyen,2020-04-17,Male,25-34,email_campaign
19582,33931,Uong Bi,2022-06-13,Male,35-44,direct
20317,34688,Nam Dinh,2014-12-31,Female,18-24,email_campaign
20320,34688,Nam Dinh,2022-03-13,Male,35-44,organic_search
20381,34951,Ha Long,2020-04-29,Male,35-44,paid_search
20391,34953,Thai Nguyen,2015-03-29,Female,45-54,email_campaign
20414,34974,Bac Giang,2020-09-18,Male,35-44,organic_search
20474,34994,Uong Bi,2019-04-18,Female,35-44,organic_search
20488,34997,Thai Nguyen,2022-12-24,Female,18-24,organic_search
20526,33126,Viet Tri,2019-02-02,Male,45-54,social_media
20661,33165,Cam Pha,2022-12-11,Female,45-54,referral
20864,32025,Bac Giang,2018-07-11,Female,18-24,organic_search
21057,32086,Nam Dinh,2020-09-13,Female,18-24,social_media
21119,32114,Son Tay,2014-10-27,Female,35-44,email_campaign
21144,32119,Lao Cai,2021-03-22,Male,25-34,email_campaign
21174,32127,Bac Giang,2020-03-21,Female,25-34,email_campaign
21177,32127,Bac Giang,2021-09-22,Female,25-34,email_campaign
21298,32168,Son Tay,2022-08-01,Female,55+,organic_search
21421,32205,Nam Dinh,2018-03-09,Female,35-44,email_campaign
21610,32258,Bac Ninh,2022-06-16,Female,45-54,organic_search
21651,32303,Son Tay,2022-10-22,Male,45-54,social_media
21689,32311,Lao Cai,2022-11-02,Female,55+,social_media
21751,32328,Cam Pha,2013-05-21,Female,25-34,organic_search
21865,32399,Thai Nguyen,2020-11-05,Male,55+,email_campaign
22116,32701,Bac Ninh,2022-10-10,Female,35-44,paid_search
22295,32754,Hai Phong,2020-11-10,Male,45-54,referral
22330,32765,Hanoi,2015-05-14,Female,35-44,organic_search
22389,32779,Nam Dinh,2019-09-12,Male,55+,direct
22444,32804,Hai Phong,2018-11-08,Female,35-44,organic_search
22522,32821,Bac Ninh,2012-10-22,Female,25-34,direct
22589,32837,Ninh Binh,2021-07-25,Male,25-34,social_media
22851,34476,Lao Cai,2020-07-09,Male,45-54,direct
22969,34705,Ha Long,2018-12-09,Female,45-54,social_media
23015,34736,Phu Ly,2018-11-16,Male,35-44,organic_search
23088,34759,Son Tay,2020-05-01,Male,45-54,email_campaign
23146,34786,Thai Nguyen,2013-11-05,Male,25-34,email_campaign
23196,32405,Son Tay,2019-01-12,Male,25-34,paid_search
23291,32433,Cam Pha,2017-07-22,Male,35-44,organic_search
23436,32504,Cam Pha,2021-08-02,Male,55+,social_media
23472,32514,Uong Bi,2021-05-10,Male,18-24,social_media
23551,32547,Bac Ninh,2017-07-10,Male,35-44,referral
