zip,city,region,district
15212,Son Tay,East,District #13
15223,Ha Long,East,District #13
15235,Lao Cai,East,District #13
15236,Hanoi,East,District #13
15237,Lao Cai,East,District #13
16056,Cam Pha,East,District #13
16066,Bac Giang,East,District #13
16201,Hanoi,East,District #13
16226,Viet Tri,East,District #13
16314,Nam Dinh,East,District #13
16341,Cam Pha,East,District #13
16364,Bac Giang,East,District #13
16602,Viet Tri,East,District #13
16624,Thai Nguyen,East,District #13
16662,Bac Giang,East,District #13
16692,Thai Nguyen,East,District #13
16830,Bac Ninh,East,District #13
15001,Ninh Binh,East,District #13
15005,Lao Cai,East,District #13
15021,Hai Phong,East,District #13
15024,Phu Ly,East,District #13
15025,Bac Ninh,East,District #13
15052,Thai Nguyen,East,District #13
15063,Hanoi,East,District #13
15108,Son Tay,East,District #13
15301,Ha Long,East,District #13
15317,Bac Giang,East,District #13
15321,Phu Ly,East,District #13
15473,Hanoi,East,District #13
15563,Thai Nguyen,East,District #13
15601,Bac Ninh,East,District #13
15639,Thai Nguyen,East,District #13
15650,Cam Pha,East,District #13
15668,Hai Phong,East,District #13
15677,Ninh Binh,East,District #13
15742,Viet Tri,East,District #13
15771,Bac Ninh,East,District #13
15801,Viet Tri,East,District #13
15860,Phu Ly,East,District #13
15902,Thai Nguyen,East,District #13
15930,Viet Tri,East,District #13
18049,Ha Long,East,District #04
18055,Phu Ly,East,District #04
18068,Lao Cai,East,District #04
18914,Son Tay,East,District #04
18944,Hanoi,East,District #04
18947,Hanoi,East,District #04
19002,Cam Pha,East,District #04
19026,Ha Long,East,District #04
19027,Ha Long,East,District #04
19040,Hai Phong,East,District #04
19380,Thai Nguyen,East,District #04
19382,Phu Ly,East,District #04
19438,Lao Cai,East,District #04
19468,Ha Long,East,District #04
19103,Son Tay,East,District #04
19123,Hanoi,East,District #04
19136,Viet Tri,East,District #04
16506,Bac Giang,East,District #06
16507,Lao Cai,East,District #06
16509,Lao Cai,East,District #06
16701,Hanoi,East,District #06
16803,Nam Dinh,East,District #06
16866,Cam Pha,East,District #06
16947,Viet Tri,East,District #06
17051,Hai Phong,East,District #06
17760,Hanoi,East,District #06
17842,Thai Nguyen,East,District #06
17019,Thai Nguyen,East,District #05
17033,Viet Tri,East,District #05
17057,Lao Cai,East,District #05
17078,Hai Phong,East,District #05
17325,Cam Pha,East,District #05
17404,Cam Pha,East,District #05
17522,Bac Giang,East,District #05
17545,Uong Bi,East,District #05
17601,Hanoi,East,District #05
17980,Lao Cai,East,District #05
19363,Ha Long,East,District #05
17967,Bac Ninh,East,District #03
18017,Bac Ninh,East,District #03
18037,Ha Long,East,District #03
18042,Bac Ninh,East,District #03
18052,Bac Ninh,East,District #03
18071,Ha Long,East,District #03
18322,Ha Long,East,District #03
18661,Thai Nguyen,East,District #03
19506,Ninh Binh,East,District #03
19508,Viet Tri,East,District #03
19530,Bac Giang,East,District #03
18407,Hai Phong,East,District #01
18411,Son Tay,East,District #01
18504,Thai Nguyen,East,District #01
18519,Phu Ly,East,District #01
18618,Lao Cai,East,District #01
18801,Viet Tri,East,District #01
16125,Nam Dinh,East,District #14
