order_id,order_date,customer_id,zip,order_status,payment_method,device_type,order_source
1,2012-07-04,58578,1109,delivered,credit_card,desktop,paid_search
2,2012-07-04,58621,1330,returned,cod,mobile,paid_search
3,2012-07-04,58811,1473,delivered,credit_card,desktop,direct
4,2012-07-04,59453,2360,delivered,credit_card,desktop,referral
6,2012-07-06,57821,2886,delivered,paypal,mobile,email_campaign
7,2012-07-06,57820,2886,delivered,credit_card,tablet,organic_search
8,2012-07-06,57818,2886,delivered,credit_card,mobile,email_campaign
9,2012-07-06,49102,5262,delivered,apple_pay,tablet,paid_search
10,2012-07-06,49101,5262,delivered,paypal,desktop,organic_search
13,2012-07-06,40638,7456,delivered,credit_card,tablet,social_media
15,2012-07-06,41782,7726,shipped,credit_card,mobile,paid_search
16,2012-07-05,41028,7830,delivered,cod,mobile,social_media
17,2012-07-05,42030,8016,delivered,cod,tablet,email_campaign
18,2012-07-06,42282,8075,delivered,credit_card,mobile,organic_search
20,2012-07-04,42962,8620,delivered,credit_card,tablet,organic_search
21,2012-07-04,43029,8724,delivered,credit_card,tablet,organic_search
22,2012-07-06,12621,10019,cancelled,apple_pay,desktop,organic_search
23,2012-07-06,12213,11777,delivered,cod,desktop,direct
24,2012-07-05,13426,12148,delivered,apple_pay,mobile,direct
25,2012-07-06,14287,12572,delivered,credit_card,desktop,organic_search
26,2012-07-05,16344,13502,cancelled,credit_card,desktop,paid_search
28,2012-07-06,9473,14304,delivered,cod,desktop,organic_search
29,2012-07-06,1484,15025,delivered,credit_card,tablet,referral
30,2012-07-04,1482,15025,delivered,cod,mobile,paid_search
31,2012-07-06,59,15212,cancelled,cod,mobile,email_campaign
32,2012-07-05,6037,17033,returned,credit_card,desktop,social_media
33,2012-07-04,6121,17057,delivered,apple_pay,desktop,referral
34,2012-07-04,3479,18068,delivered,paypal,desktop,social_media
35,2012-07-04,3666,18944,returned,credit_card,desktop,organic_search
36,2012-07-05,3678,18947,delivered,paypal,desktop,referral
38,2012-07-04,4536,19103,delivered,credit_card,tablet,paid_search
39,2012-07-04,4607,19123,delivered,paypal,desktop,paid_search
41,2012-07-04,7833,19508,delivered,credit_card,desktop,referral
42,2012-07-06,48406,19977,cancelled,paypal,mobile,direct
43,2012-07-04,65096,20008,delivered,paypal,desktop,organic_search
44,2012-07-05,65847,22407,delivered,cod,tablet,email_campaign
45,2012-07-04,66149,22630,delivered,credit_card,mobile,social_media
46,2012-07-04,68317,24141,cancelled,cod,desktop,paid_search
47,2012-07-06,72063,24212,returned,credit_card,mobile,organic_search
48,2012-07-04,39584,26264,delivered,credit_card,desktop,organic_search
49,2012-07-04,39696,26330,delivered,credit_card,tablet,social_media
50,2012-07-04,39739,26351,delivered,credit_card,mobile,social_media
52,2012-07-06,50793,27612,delivered,cod,mobile,referral
53,2012-07-06,50806,27614,delivered,apple_pay,desktop,paid_search
56,2012-07-06,51904,28462,delivered,credit_card,mobile,email_campaign
58,2012-07-04,62776,29412,paid,credit_card,mobile,organic_search
59,2012-07-06,63551,29669,returned,cod,mobile,paid_search
60,2012-07-04,53784,30004,delivered,credit_card,mobile,social_media
62,2012-07-04,54035,30075,delivered,credit_card,desktop,email_campaign
63,2012-07-06,54260,30127,delivered,credit_card,desktop,paid_search
65,2012-07-04,61684,30907,paid,credit_card,mobile,organic_search
66,2012-07-04,55365,31008,delivered,credit_card,mobile,organic_search
67,2012-07-04,17352,32922,returned,credit_card,desktop,paid_search
68,2012-07-05,20526,33126,delivered,credit_card,desktop,referral
70,2012-07-04,20320,34688,delivered,credit_card,desktop,organic_search
71,2012-07-06,20317,34688,cancelled,credit_card,desktop,email_campaign
72,2012-07-04,20391,34953,delivered,paypal,desktop,paid_search
74,2012-07-04,70880,35126,delivered,credit_card,desktop,organic_search
75,2012-07-04,71549,35620,delivered,paypal,mobile,social_media
76,2012-07-05,52862,36092,delivered,apple_pay,mobile,social_media
78,2012-07-04,53240,36351,delivered,cod,mobile,referral
79,2012-07-04,53482,36580,delivered,credit_card,tablet,organic_search
80,2012-07-04,75426,38109,delivered,credit_card,desktop,referral
81,2012-07-05,75477,38122,delivered,credit_card,mobile,email_campaign
82,2012-07-04,46143,40601,delivered,paypal,desktop,email_campaign
83,2012-07-04,46265,41042,delivered,apple_pay,mobile,referral
84,2012-07-04,26013,43311,delivered,cod,tablet,referral
85,2012-07-04,27342,43528,delivered,paypal,tablet,social_media
86,2012-07-05,27433,43556,delivered,credit_card,desktop,direct
87,2012-07-04,23719,43938,delivered,paypal,tablet,referral
88,2012-07-04,23718,43938,delivered,apple_pay,mobile,email_campaign
89,2012-07-04,27823,44077,delivered,paypal,mobile,email_campaign
90,2012-07-05,28488,44405,delivered,paypal,mobile,organic_search
91,2012-07-06,28899,44646,delivered,cod,desktop,paid_search
92,2012-07-04,29210,44830,delivered,credit_card,desktop,organic_search
93,2012-07-06,34572,47380,delivered,credit_card,tablet,email_campaign
95,2012-07-04,37009,47946,delivered,paypal,desktop,social_media
96,2012-07-04,30351,48302,delivered,credit_card,mobile,social_media
97,2012-07-05,30427,48322,cancelled,cod,mobile,referral
99,2012-07-05,30476,48334,cancelled,credit_card,tablet,social_media
100,2012-07-04,30676,48419,delivered,credit_card,mobile,direct
101,2012-07-04,31610,48843,delivered,credit_card,mobile,paid_search
102,2012-07-04,31661,48854,returned,credit_card,mobile,organic_search
104,2012-07-05,105900,50616,delivered,paypal,desktop,organic_search
106,2012-07-06,88049,51401,delivered,credit_card,desktop,organic_search
107,2012-07-05,85445,51579,delivered,credit_card,desktop,organic_search
108,2012-07-05,112415,52409,returned,bank_transfer,mobile,organic_search
110,2012-07-06,111024,52565,delivered,credit_card,desktop,organic_search
116,2012-07-04,115741,53207,delivered,bank_transfer,mobile,organic_search
117,2012-07-04,115808,53221,delivered,credit_card,desktop,paid_search
118,2012-07-04,116865,54547,delivered,bank_transfer,tablet,social_media
120,2012-07-04,103298,55330,delivered,apple_pay,mobile,organic_search
121,2012-07-04,104044,55917,delivered,credit_card,mobile,email_campaign
122,2012-07-04,104301,56007,delivered,credit_card,mobile,organic_search
124,2012-07-06,88710,56334,delivered,bank_transfer,desktop,referral
125,2012-07-04,90215,57401,delivered,bank_transfer,tablet,paid_search
126,2012-07-04,117647,60061,delivered,credit_card,desktop,organic_search
128,2012-07-04,117866,60120,delivered,credit_card,mobile,referral
130,2012-07-05,118070,60177,cancelled,cod,tablet,email_campaign
132,2012-07-04,118599,60506,returned,credit_card,mobile,email_campaign
133,2012-07-04,119489,61032,delivered,apple_pay,desktop,organic_search
135,2012-07-04,47414,61938,returned,cod,mobile,organic_search
136,2012-07-04,121841,62035,delivered,cod,desktop,social_media
137,2012-07-05,76340,62901,cancelled,credit_card,mobile,direct
138,2012-07-04,109646,63031,paid,credit_card,mobile,organic_search
140,2012-07-06,83154,64060,delivered,cod,desktop,email_campaign
141,2012-07-04,110610,65109,cancelled,credit_card,mobile,referral
144,2012-07-04,95103,67156,returned,cod,mobile,social_media
145,2012-07-06,101836,71105,delivered,credit_card,tablet,referral
146,2012-07-04,78826,71601,returned,apple_pay,tablet,paid_search
147,2012-07-04,79363,72023,returned,credit_card,desktop,email_campaign
149,2012-07-05,94482,73179,delivered,credit_card,mobile,direct
152,2012-07-04,125023,76008,delivered,credit_card,tablet,organic_search
153,2012-07-05,125023,76008,delivered,cod,mobile,social_media
154,2012-07-05,127653,76513,delivered,apple_pay,desktop,paid_search
156,2012-07-04,123891,79121,delivered,apple_pay,desktop,organic_search
157,2012-07-04,123926,79255,shipped,paypal,desktop,social_media
158,2012-07-04,126677,79423,delivered,credit_card,desktop,paid_search
159,2012-07-04,107642,80480,delivered,credit_card,desktop,paid_search
160,2012-07-04,108819,81401,delivered,cod,desktop,organic_search
163,2012-07-04,144785,86406,delivered,cod,desktop,organic_search
164,2012-07-04,145280,87144,shipped,paypal,desktop,direct
165,2012-07-04,145543,87505,delivered,credit_card,desktop,organic_search
168,2012-07-04,151534,89706,delivered,cod,tablet,organic_search
169,2012-07-04,151531,89706,delivered,paypal,mobile,social_media
170,2012-07-04,142387,90029,delivered,paypal,tablet,social_media
171,2012-07-04,140685,91361,cancelled,cod,mobile,organic_search
172,2012-07-05,140918,91702,delivered,credit_card,mobile,social_media
173,2012-07-04,137834,91901,delivered,apple_pay,desktop,paid_search
175,2012-07-04,138024,92009,delivered,paypal,mobile,referral
176,2012-07-04,137548,92101,delivered,bank_transfer,desktop,email_campaign
177,2012-07-06,138691,92354,delivered,paypal,desktop,organic_search
178,2012-07-05,139129,92590,delivered,credit_card,mobile,social_media
179,2012-07-04,141358,92656,delivered,credit_card,desktop,social_media
180,2012-07-05,141411,92675,delivered,credit_card,tablet,social_media
182,2012-07-04,141457,92692,delivered,credit_card,mobile,paid_search
183,2012-07-05,141458,92692,delivered,credit_card,mobile,organic_search
184,2012-07-06,141497,92705,cancelled,credit_card,desktop,organic_search
185,2012-07-04,139182,92881,delivered,apple_pay,tablet,social_media
186,2012-07-04,141857,93041,delivered,paypal,mobile,social_media
187,2012-07-04,133446,94303,delivered,credit_card,desktop,social_media
188,2012-07-06,135522,94535,delivered,paypal,desktop,organic_search
189,2012-07-05,133631,94536,delivered,cod,tablet,referral
190,2012-07-05,133762,94566,delivered,paypal,tablet,direct
191,2012-07-06,133977,94701,delivered,credit_card,mobile,organic_search
192,2012-07-04,134336,95006,returned,credit_card,desktop,referral
193,2012-07-04,134336,95006,delivered,credit_card,desktop,organic_search
194,2012-07-04,134556,95075,delivered,credit_card,desktop,email_campaign
196,2012-07-04,134686,95133,delivered,cod,desktop,social_media
197,2012-07-05,135998,95604,delivered,paypal,desktop,organic_search
198,2012-07-06,136004,95605,delivered,credit_card,tablet,direct
199,2012-07-04,136004,95605,delivered,apple_pay,mobile,social_media
202,2012-07-04,136475,95747,cancelled,credit_card,mobile,organic_search
204,2012-07-05,136493,95762,delivered,bank_transfer,desktop,social_media
205,2012-07-04,137506,95835,delivered,credit_card,desktop,social_media
206,2012-07-04,136751,95969,delivered,credit_card,mobile,social_media
208,2012-07-04,147493,97338,delivered,credit_card,desktop,organic_search
209,2012-07-05,149086,98236,paid,cod,tablet,social_media
210,2012-07-05,149398,98327,delivered,credit_card,mobile,email_campaign
211,2012-07-06,148159,99709,returned,credit_card,mobile,paid_search
212,2012-07-07,59239,2050,delivered,credit_card,mobile,paid_search
213,2012-07-07,59937,2747,created,apple_pay,desktop,referral
214,2012-07-04,57099,6478,delivered,credit_card,mobile,paid_search
215,2012-07-06,48587,6820,cancelled,credit_card,desktop,paid_search
217,2012-07-06,42050,8021,delivered,credit_card,tablet,organic_search
218,2012-07-05,42511,8225,delivered,paypal,tablet,social_media
219,2012-07-04,42759,8361,delivered,paypal,mobile,social_media
220,2012-07-07,41328,8804,delivered,credit_card,tablet,social_media
223,2012-07-04,10813,10530,delivered,paypal,mobile,organic_search
224,2012-07-07,11011,10913,delivered,credit_card,tablet,organic_search
225,2012-07-06,11379,11229,cancelled,credit_card,desktop,organic_search
226,2012-07-04,11672,11433,delivered,paypal,mobile,paid_search
227,2012-07-05,11714,11510,delivered,apple_pay,desktop,paid_search
228,2012-07-06,14351,12590,delivered,cod,mobile,organic_search
229,2012-07-04,14417,12729,delivered,paypal,desktop,organic_search
230,2012-07-07,14637,12804,created,cod,desktop,referral
231,2012-07-04,15526,13110,delivered,apple_pay,mobile,organic_search
232,2012-07-07,16823,13760,created,credit_card,mobile,organic_search
233,2012-07-07,8974,14033,delivered,credit_card,desktop,paid_search
234,2012-07-04,9206,14120,delivered,credit_card,mobile,direct
236,2012-07-04,1477,15024,delivered,credit_card,mobile,organic_search
237,2012-07-07,1758,15108,shipped,cod,tablet,organic_search
238,2012-07-04,168,15236,delivered,credit_card,desktop,social_media
