order_id,payment_method,payment_value,installments
1,credit_card,7967.54,3
2,cod,71163.75,1
3,credit_card,33660.99,3
4,credit_card,53196.25,3
6,paypal,1597.84,1
7,credit_card,9800.94,12
8,credit_card,16187.56,6
9,apple_pay,32397.12,12
10,paypal,19886.85,1
13,credit_card,36037.68,3
15,credit_card,43334.12,6
16,cod,5074.15,1
17,cod,22038.2,1
18,credit_card,29957.28,3
20,credit_card,12794.04,3
21,credit_card,19517.66,1
22,apple_pay,39165.14,1
23,cod,60041.6,1
24,apple_pay,32590.56,3
25,credit_card,24896.07,6
26,credit_card,20393.28,1
28,cod,45099.8,1
29,credit_card,1901.5,12
30,cod,4110.36,1
31,cod,12526.53,1
32,credit_card,15594.24,3
33,apple_pay,74736.48,1
34,paypal,22669.44,1
35,credit_card,10724.44,3
36,paypal,3514.8,3
38,credit_card,3327.96,1
39,paypal,10508.84,1
41,credit_card,48683.4,12
42,paypal,20523.84,3
43,paypal,5679.9,6
44,cod,38829.92,1
45,credit_card,79082.08,3
46,cod,12041.88,1
47,credit_card,15984.99,3
48,credit_card,6443.86,6
49,credit_card,53951.1,3
50,credit_card,25552.72,1
52,cod,8097.42,1
53,apple_pay,80787.84,1
56,credit_card,18206.05,6
58,credit_card,27093.03,6
59,cod,22346.22,1
60,credit_card,6074.2,1
62,credit_card,2154.9,3
63,credit_card,49992.5,12
65,credit_card,14819.58,6
66,credit_card,36800.88,6
67,credit_card,12417.3,1
68,credit_card,13796.22,12
70,credit_card,12431.2,12
71,credit_card,7543.95,3
72,paypal,19156.95,1
74,credit_card,33478.32,12
75,paypal,29106.6,6
76,apple_pay,88121.32,3
78,cod,63082.62,1
79,credit_card,8252.54,6
80,credit_card,27273.96,6
81,credit_card,42497.84,3
82,paypal,5597.1,6
83,apple_pay,16043.68,6
84,cod,51904.96,1
85,paypal,11000.4,12
86,credit_card,9897.88,3
87,paypal,4811.24,6
88,apple_pay,3326.75,3
89,paypal,73612.35,1
90,paypal,6747.15,12
91,cod,75230.26,1
92,credit_card,20090.24,1
93,credit_card,29812.71,3
95,paypal,12014.28,3
96,credit_card,79628.43,1
97,cod,34383.45,1
99,credit_card,17643.66,1
100,credit_card,8995.77,3
101,credit_card,9908.35,1
102,credit_card,11012.4,12
104,paypal,9634.98,3
106,credit_card,32612.25,3
107,credit_card,32862.03,3
108,bank_transfer,71007.93,1
110,credit_card,81594.88,1
116,bank_transfer,49120.24,1
117,credit_card,86110.92,1
118,bank_transfer,50104.85,12
120,apple_pay,34583.01,1
121,credit_card,31704.55,3
122,credit_card,12466.32,3
124,bank_transfer,11891.69,1
125,bank_transfer,51498.93,3
126,credit_card,86758.08,1
128,credit_card,42242.27,3
130,cod,9639.22,1
132,credit_card,30507.45,3
133,apple_pay,63826.2,3
135,cod,5282.86,1
136,cod,49467.46,1
137,credit_card,5585.5,12
138,credit_card,3162.53,3
140,cod,33900.0,1
141,credit_card,12252.99,6
144,cod,78482.95,1
145,credit_card,78977.08,12
146,apple_pay,51765.12,3
147,credit_card,32895.44,1
149,credit_card,87460.24,12
152,credit_card,1777.33,12
153,cod,12476.45,1
154,apple_pay,13396.86,1
156,apple_pay,60497.36,3
157,paypal,44195.44,1
158,credit_card,41431.2,3
159,credit_card,83461.36,12
160,cod,64715.46,1
163,cod,2767.5,1
164,paypal,7696.8,1
165,credit_card,31440.51,3
168,cod,21803.15,1
169,paypal,21584.05,1
170,paypal,44787.2,3
171,cod,41466.68,1
172,credit_card,30789.51,12
173,apple_pay,1920.52,6
175,paypal,4575.84,6
176,bank_transfer,67733.34,3
177,paypal,82749.19,3
178,credit_card,62485.28,6
179,credit_card,30384.39,12
180,credit_card,27211.31,3
182,credit_card,38690.56,1
183,credit_card,9020.9,3
184,credit_card,54499.75,1
185,apple_pay,66019.6,6
186,paypal,18495.42,1
187,credit_card,63895.65,1
188,paypal,28119.76,1
189,cod,28554.12,1
190,paypal,20953.72,1
191,credit_card,19186.26,1
192,credit_card,7872.06,3
193,credit_card,1172.76,3
194,credit_card,12589.92,12
196,cod,22342.18,1
197,paypal,4007.5,3
198,credit_card,22062.08,12
199,apple_pay,71390.06,12
202,credit_card,10826.92,3
204,bank_transfer,11741.4,3
205,credit_card,20596.22,3
206,credit_card,62364.33,1
208,credit_card,15779.4,3
209,cod,37022.61,1
210,credit_card,59323.53,3
211,credit_card,8321.9,6
212,credit_card,15205.96,3
213,apple_pay,28467.36,6
214,credit_card,16136.79,6
215,credit_card,7556.08,1
217,credit_card,63752.28,12
218,paypal,21517.44,3
219,paypal,81516.68,12
220,credit_card,61583.76,1
223,paypal,73427.97,12
224,credit_card,41912.24,1
225,credit_card,17478.34,1
226,paypal,30200.9,3
227,apple_pay,15393.56,3
228,cod,67060.08,1
229,paypal,12247.94,3
230,cod,101240.44,1
231,apple_pay,19180.66,1
232,credit_card,48232.8,3
233,credit_card,72952.18,12
234,credit_card,19455.3,6
236,credit_card,6835.38,3
237,cod,27100.62,1
238,credit_card,35860.8,6
239,credit_card,54269.04,12
241,credit_card,15848.8,6
242,credit_card,3277.98,1
244,credit_card,16166.11,1
245,paypal,51523.35,1
246,credit_card,33436.5,1
249,paypal,7499.49,6
250,credit_card,7459.35,6
251,apple_pay,22039.08,3
254,credit_card,53639.22,6
257,paypal,12855.46,1
259,paypal,45520.04,3
260,paypal,47732.7,3
261,credit_card,45032.2,6
262,apple_pay,12035.5,3
263,credit_card,8319.14,3
264,paypal,11027.85,3
265,credit_card,54144.96,6
266,credit_card,28576.05,12
268,credit_card,10404.92,3
269,paypal,9787.72,1
271,credit_card,60014.82,6
273,credit_card,74975.46,3
274,credit_card,68732.37,3
275,credit_card,20923.98,12
278,credit_card,65835.6,12
280,credit_card,33675.33,1
281,credit_card,36161.55,3
282,apple_pay,33416.88,6
284,credit_card,25646.6,3
285,apple_pay,78768.41,3
286,credit_card,11975.34,3
287,credit_card,13125.52,3
290,apple_pay,15119.34,6
291,paypal,77725.55,3
292,credit_card,13122.4,6
293,credit_card,114802.16,6
295,credit_card,42866.08,1
296,bank_transfer,61881.36,3
297,cod,5608.92,1
298,cod,70226.56,1
299,apple_pay,63855.12,3
300,credit_card,15083.25,12
301,credit_card,10475.58,3
302,credit_card,10972.21,1
303,credit_card,3053.44,3
305,cod,4549.77,1
306,credit_card,10662.66,12
307,cod,29146.88,1
308,credit_card,69775.3,1
309,apple_pay,77602.05,12
310,cod,62991.05,1
311,credit_card,45746.4,3
312,bank_transfer,23265.0,1
315,apple_pay,25746.98,3
316,credit_card,60391.68,6
317,paypal,65889.48,3
318,credit_card,33675.12,12
322,credit_card,53583.45,3
323,paypal,19631.26,3
324,credit_card,32499.09,1
326,apple_pay,22687.5,6
328,credit_card,15479.96,1
330,credit_card,37183.44,1
331,cod,49746.4,1
333,credit_card,25914.68,3
335,credit_card,7537.14,3
336,apple_pay,67105.32,3
337,credit_card,43049.28,3
338,bank_transfer,56613.4,3
339,credit_card,70166.6,1
340,credit_card,3521.8,1
341,credit_card,1809.62,3
342,paypal,22922.3,3
344,cod,22339.32,1
346,credit_card,55364.85,3
347,apple_pay,13037.3,12
348,credit_card,19687.86,12
351,paypal,22421.1,6
352,cod,5349.33,1
353,credit_card,10302.24,3
357,paypal,53885.76,3
358,paypal,18433.6,1
359,cod,24601.38,1
362,cod,33436.97,1
365,paypal,1641.85,3
366,credit_card,37884.0,3
367,paypal,78779.4,3
368,credit_card,29687.95,1
369,credit_card,10912.47,1
370,credit_card,26091.7,3
371,credit_card,13811.35,3
372,credit_card,1071.54,1
373,apple_pay,11147.26,1
376,credit_card,1599.25,1
377,credit_card,6558.44,6
378,cod,87912.72,1
380,credit_card,39415.25,12
381,paypal,5859.77,3
383,credit_card,35753.8,1
385,credit_card,76540.24,3
386,credit_card,34139.1,1
388,credit_card,19876.06,3
391,credit_card,13991.44,6
393,credit_card,33524.19,3
394,credit_card,23077.32,6
395,paypal,12235.54,12
396,cod,25387.58,1
397,paypal,11022.77,1
399,credit_card,68183.76,3
400,cod,12214.14,1
401,paypal,55524.65,3
402,apple_pay,17476.2,3
403,credit_card,3473.43,3
404,credit_card,6749.94,3
405,cod,6504.37,1
406,credit_card,53238.95,1
409,cod,11018.25,1
410,credit_card,37577.72,6
411,credit_card,50233.3,1
412,paypal,39940.24,3
413,cod,21737.32,1
414,credit_card,66052.07,1
415,credit_card,5338.72,1
416,credit_card,62766.45,6
417,apple_pay,41184.24,3
418,paypal,9890.7,3
419,credit_card,4133.3,6
420,paypal,90466.48,3
421,credit_card,12040.43,1
423,apple_pay,51506.88,12
425,credit_card,13399.02,3
426,cod,27839.28,1
427,paypal,50382.08,6
428,credit_card,30751.5,6
429,apple_pay,63613.86,12
430,credit_card,77175.66,3
432,apple_pay,10881.26,12
433,credit_card,37923.72,3
434,credit_card,24008.34,3
435,apple_pay,70748.44,3
436,credit_card,32584.23,1
438,credit_card,40787.44,3
439,credit_card,86321.36,1
440,credit_card,11685.1,1
442,apple_pay,17017.08,1
443,credit_card,35981.4,3
444,bank_transfer,5195.95,1
445,apple_pay,6249.06,3
446,credit_card,5343.65,3
448,apple_pay,86307.36,6
449,credit_card,44738.36,3
450,credit_card,35989.94,3
451,paypal,48758.24,6
452,credit_card,54064.22,3
453,credit_card,67432.4,1
457,cod,7029.71,1
458,credit_card,5639.32,1
459,apple_pay,22785.08,1
461,paypal,38391.3,3
463,credit_card,11137.23,3
466,credit_card,31474.08,6
469,credit_card,28052.08,12
470,credit_card,16163.08,3
471,credit_card,43043.7,3
472,credit_card,20189.1,1
473,cod,11137.25,1
474,credit_card,7518.13,6
475,cod,70139.02,1
476,credit_card,35601.86,3
477,cod,3406.11,1
478,credit_card,4120.98,3
479,credit_card,5918.55,1
484,cod,36732.08,1
485,cod,79762.48,1
486,credit_card,6492.38,6
487,credit_card,22763.86,3
490,cod,13444.0,1
491,bank_transfer,49566.96,3
492,cod,39257.44,1
495,bank_transfer,14031.3,12
496,paypal,14527.59,1
497,cod,28534.89,1
499,bank_transfer,2667.89,12
501,paypal,7686.82,1
503,credit_card,69160.7,1
505,credit_card,12383.66,12
506,apple_pay,10604.24,3
508,paypal,16574.32,3
509,cod,11252.64,1
511,paypal,50427.93,3
513,paypal,10709.85,1
514,credit_card,21727.8,1
515,paypal,25569.75,6
516,credit_card,1172.61,3
517,paypal,7135.86,1
518,credit_card,39534.24,1
520,cod,10174.92,1
523,credit_card,8134.16,12
525,credit_card,50473.76,3
527,paypal,15382.04,3
528,credit_card,14338.45,3
530,bank_transfer,9847.3,12
531,credit_card,36345.19,1
532,credit_card,3566.25,3
533,credit_card,5071.5,1
534,credit_card,902.72,2
535,credit_card,3477.56,1
536,paypal,74070.42,3
539,credit_card,9318.08,12
540,paypal,5977.89,6
542,credit_card,74808.18,6
543,credit_card,9944.64,12
544,credit_card,18415.32,3
545,credit_card,41069.25,3
546,credit_card,105685.84,12
547,credit_card,9931.2,6
548,credit_card,10514.63,6
550,credit_card,20015.36,1
551,credit_card,5840.28,3
552,cod,19941.1,1
554,apple_pay,42269.84,1
556,credit_card,84722.96,1
557,credit_card,4683.52,3
558,credit_card,20954.3,12
559,credit_card,66952.86,3
560,credit_card,19234.35,6
562,credit_card,78620.43,1
563,apple_pay,50323.08,6
564,paypal,27835.23,1
565,credit_card,53979.45,1
566,credit_card,54697.68,6
567,bank_transfer,7797.59,1
568,credit_card,45730.0,12
569,apple_pay,24648.68,3
570,cod,7995.7,1
571,credit_card,66878.7,1
573,paypal,18492.09,3
574,cod,28492.56,1
577,credit_card,38457.95,6
581,credit_card,3720.27,1
582,credit_card,5267.9,3
583,paypal,30486.3,3
584,credit_card,55611.15,1
586,apple_pay,45774.33,6
587,credit_card,86720.08,1
588,bank_transfer,76563.06,3
589,cod,53645.27,1
590,credit_card,24469.52,6
591,credit_card,60844.56,6
592,credit_card,8246.91,1
593,apple_pay,28897.07,1
594,credit_card,37731.45,3
596,cod,18700.28,1
597,cod,101727.68,1
598,apple_pay,6178.51,3
599,apple_pay,1352.14,6
600,credit_card,1320.2,1
601,credit_card,7995.56,1
602,credit_card,16610.64,12
603,credit_card,12407.4,6
605,credit_card,5703.25,1
607,credit_card,65244.18,3
609,apple_pay,42609.21,12
610,cod,30909.8,1
612,credit_card,74127.52,1
613,bank_transfer,57046.75,12
614,credit_card,21399.1,1
615,paypal,36212.76,6
616,credit_card,11529.75,3
618,credit_card,1312.18,3
619,credit_card,5415.68,6
620,credit_card,44183.2,3
621,paypal,54607.35,3
624,paypal,8047.81,3
625,credit_card,42431.92,1
628,cod,3993.12,1
631,credit_card,33888.42,3
632,paypal,23713.44,3
633,cod,26931.28,1
634,credit_card,89048.19,3
635,credit_card,35992.18,6
636,apple_pay,22173.14,3
637,cod,15823.68,1
638,credit_card,4117.94,6
639,paypal,19557.06,3
641,credit_card,9414.58,3
642,credit_card,63238.85,1
643,bank_transfer,7714.81,6
644,paypal,56558.32,12
645,apple_pay,29780.04,6
646,cod,18865.29,1
647,credit_card,70724.24,3
648,apple_pay,40539.95,6
649,credit_card,24607.72,12
650,credit_card,39179.35,12
652,credit_card,91654.15,1
654,credit_card,27727.35,1
656,bank_transfer,43741.68,1
658,credit_card,24319.08,1
659,paypal,27965.14,1
662,credit_card,2082.9,12
663,credit_card,3511.6,3
664,paypal,11069.16,3
665,paypal,49635.6,6
667,apple_pay,50720.88,3
669,cod,75839.16,1
670,credit_card,66853.32,3
671,credit_card,35339.0,1
672,credit_card,50655.92,1
673,paypal,87384.32,6
674,apple_pay,85096.32,3
675,credit_card,19171.16,1
676,credit_card,38865.45,3
678,credit_card,6846.72,1
679,apple_pay,51963.76,12
680,credit_card,23354.4,3
681,cod,7438.8,1
682,credit_card,4113.72,3
683,credit_card,12956.92,12
684,cod,12380.86,1
686,credit_card,5410.8,1
687,credit_card,2765.04,12
688,credit_card,48765.45,3
689,apple_pay,73548.09,1
690,credit_card,60488.64,1
692,apple_pay,7563.53,3
695,credit_card,687.41,1
696,cod,18576.7,1
697,apple_pay,43970.56,3
698,credit_card,9769.32,1
700,cod,22802.98,1
702,cod,21905.24,1
703,paypal,7626.14,1
