product_id,product_name,category,segment,size,color,price,cogs
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.6242217898825,3404.7427264494163
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.40662055336,10683.136289525692
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988223707352,6569.1141994737945
565,SaigonFlex UC-30,Streetwear,Everyday,M,purple,10752.791426927502,9051.699823187571
573,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.690322580645,2813.7576464516133
574,SaigonFlex UC-39,Streetwear,Everyday,L,white,10912.659378640778,10134.58676494369
580,SaigonFlex UC-45,Streetwear,Everyday,S,red,9901.548539325842,9406.47111235955
592,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.637804878048,7346.945278536587
596,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.146989690722,5842.05966371134
600,SaigonFlex UC-65,Streetwear,Everyday,S,red,9148.348757120662,4647.361168617297
604,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514
606,SaigonFlex UC-71,Streetwear,Everyday,L,green,4042.8549822064056,3552.4566728647687
609,SaigonFlex UC-74,Streetwear,Everyday,M,yellow,10426.571033557047,8987.704230926174
618,SaigonFlex UC-83,Streetwear,Everyday,L,pink,14262.4125,13549.291875
622,SaigonFlex UC-87,Streetwear,Everyday,L,orange,9946.84289008455,7374.589318708685
631,SaigonFlex UC-96,Streetwear,Everyday,XL,black,4677.019784172662,4443.168794964029
635,SaigonFlex UC-00,Streetwear,Everyday,XL,purple,10745.220588235294,9205.430477941176
645,SaigonFlex UC-10,Streetwear,Everyday,M,purple,8950.095000000001,8502.590250000001
647,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,11033.912927650028,6038.860545302861
658,SaigonFlex UC-23,Streetwear,Everyday,L,pink,11169.79043478261,8112.6187927826095
671,SaigonFlex UC-36,Streetwear,Everyday,XL,black,11194.626315789474,7866.463912105264
676,SaigonFlex UC-41,Streetwear,Everyday,S,green,9891.036652260638,9195.696775606715
681,SaigonFlex UC-46,Streetwear,Everyday,M,black,8907.554838709679,8272.446178709677
687,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,5610.653125000001,4180.4976434375
691,SaigonFlex UC-56,Streetwear,Everyday,XL,black,4663.545057034221,4430.36780418251
940,HanoiStreet UC-03,Streetwear,Everyday,S,red,8270.437924528303,7856.916028301888
946,HanoiStreet UC-09,Streetwear,Everyday,L,green,8360.990689655173,4980.642153827586
