year,order_source,revenue,cogs,margin_pct
2013,direct,133971229.2,117954485.60187836,11.955360635088986
2013,email_campaign,204180876.71,179637466.85160568,12.020425347302998
2013,organic_search,467054645.22,412173538.8646049,11.750467941399899
2013,paid_search,362500355.4,322333762.44239855,11.080428573174698
2013,referral,164344068.07,145327759.67418838,11.571034244881838
2013,social_media,325118242.67,288553089.87054455,11.246724422218797
2014,direct,152827639.7,127736343.86153792,16.418035302852402
2014,email_campaign,223588706.06,188347173.6169097,15.76176769574096
2014,organic_search,525001979.84,442431387.4688983,15.72767256920935
2014,paid_search,411759090.17,346573874.9885132,15.83091101997877
2014,referral,183095042.0,154442804.07795846,15.648833310320622
2014,social_media,375573425.03,315075872.8690884,16.10804921995723
2015,direct,152021012.23,133878325.08118588,11.934328605420124
2015,email_campaign,222629295.09,195369020.6377479,12.244693332578656
2015,organic_search,535502361.21,472702801.1509622,11.727223745034177
2015,paid_search,412246308.12,364142775.3594647,11.668638824179094
2015,referral,188003652.34,166694674.3683835,11.334342554728535
2015,social_media,379531197.93,332654220.83274454,12.351284256189492
2016,direct,172096441.38,144822523.0785364,15.848043156941893
2016,email_campaign,251414116.76,213248827.19452068,15.180249246668955
2016,organic_search,589903086.24,498669031.89905727,15.465939485494484
2016,paid_search,460877404.21,389862693.35091966,15.408590269424943
2016,referral,211085271.07,178260656.50153553,15.550405010295187
2016,social_media,419264357.88,355695660.58104163,15.161960730550037
2017,direct,156658090.06,139643267.0732969,10.861119895044313
2017,email_campaign,230194109.69,202983391.12939277,11.820770999419409
2017,organic_search,530058091.81,469580625.14589554,11.409592193487859
2017,paid_search,421320035.76,373213066.4650707,11.41815371019593
2017,referral,190986332.34,169820338.98051047,11.082464959748611
2017,social_media,381947665.62,339145104.6978709,11.206394167287147
2018,direct,146898300.26,122595910.46775797,16.543683452584844
2018,email_campaign,226892539.48,189038416.39855614,16.683723126462954
2018,organic_search,511021803.98,426424425.0156214,16.554553701135127
2018,paid_search,401814440.15,335246026.1132388,16.56695414229283
2018,referral,187451311.24,155930773.06244966,16.815320185834057
2018,social_media,376044060.97,312940215.09522396,16.780971280865504
2019,direct,91947414.23,82008786.34666398,10.809034671138486
2019,email_campaign,133921869.28,118611763.90928796,11.432117437594986
2019,organic_search,318612957.61,281054515.7969371,11.788108711836049
2019,paid_search,252025037.8,222396147.17480567,11.75632821398761
2019,referral,114230404.19,100739812.92944174,11.809982951753629
2019,social_media,226063758.4,200391857.63325307,11.356044395812779
2020,direct,81807702.42,68390752.48603262,16.400594977090154
2020,email_campaign,127473083.09,107053960.07381448,16.01838013266611
2020,organic_search,297412512.15,249340379.38516605,16.16345338577711
2020,paid_search,235484237.91,198337169.9737961,15.774757693294605
2020,referral,100685648.72,84958161.78481288,15.620385958801533
2020,social_media,211648974.5,178004673.84680519,15.896273881163934
2021,direct,82454227.92,74280574.07478465,9.912959045769876
2021,email_campaign,122688533.84,111149333.46686806,9.40528019364906
2021,organic_search,290472661.37,262016353.46263334,9.796552891812224
2021,paid_search,228385130.84,204851883.1035651,10.304194344824321
2021,referral,109515111.72,99230891.6497804,9.390685822896778
2021,social_media,209524153.94,189601084.40375534,9.508722102727067
2022,direct,96142504.69,83886831.2160121,12.747403984850244
2022,email_campaign,140423402.58,122027824.72216149,13.100079844140266
2022,organic_search,322642512.47,281922349.88116574,12.620829870527533
2022,paid_search,255311428.37,222134754.77983114,12.99459009805424
2022,referral,118522811.14,103583642.86944704,12.604466707178172
2022,social_media,236706172.44,206864760.47678623,12.606942884338151
