Date,Revenue,COGS
2023-01-01,2591154.6,2103620.26
2023-01-02,2591154.6,2103620.26
2023-01-03,2591154.6,2103620.26
2023-01-04,2591154.6,2103620.26
2023-01-05,2591154.6,2103620.26
2023-01-06,2591154.6,2103620.26
2023-01-07,2591154.6,2103620.26
2023-01-08,2591154.6,2103620.26
2023-01-09,2591154.6,2103620.26
2023-01-10,2591154.6,2103620.26
2023-01-11,2591154.6,2103620.26
2023-01-12,2591154.6,2103620.26
2023-01-13,2591154.6,2103620.26
2023-01-14,2591154.6,2103620.26
2023-01-15,2591154.6,2103620.26
2023-01-16,2591154.6,2103620.26
2023-01-17,2591154.6,2103620.26
2023-01-18,2591154.6,2103620.26
2023-01-19,2591154.6,2103620.26
2023-01-20,2591154.6,2103620.26
2023-01-21,2591154.6,2103620.26
2023-01-22,2591154.6,2103620.26
2023-01-23,2591154.6,2103620.26
2023-01-24,2591154.6,2103620.26
2023-01-25,2591154.6,2103620.26
2023-01-26,2591154.6,2103620.26
2023-01-27,2591154.6,2103620.26
2023-01-28,2591154.6,2103620.26
2023-01-29,2591154.6,2103620.26
2023-01-30,2591154.6,2103620.26
2023-01-31,2591154.6,2103620.26
2023-02-01,3480800.78,2824292.14
2023-02-02,3480800.78,2824292.14
2023-02-03,3480800.78,2824292.14
2023-02-04,3480800.78,2824292.14
2023-02-05,3480800.78,2824292.14
2023-02-06,3480800.78,2824292.14
2023-02-07,3480800.78,2824292.14
2023-02-08,3480800.78,2824292.14
2023-02-09,3480800.78,2824292.14
2023-02-10,3480800.78,2824292.14
2023-02-11,3480800.78,2824292.14
2023-02-12,3480800.78,2824292.14
2023-02-13,3480800.78,2824292.14
2023-02-14,3480800.78,2824292.14
2023-02-15,3480800.78,2824292.14
2023-02-16,3480800.78,2824292.14
2023-02-17,3480800.78,2824292.14
2023-02-18,3480800.78,2824292.14
2023-02-19,3480800.78,2824292.14
2023-02-20,3480800.78,2824292.14
2023-02-21,3480800.78,2824292.14
2023-02-22,3480800.78,2824292.14
2023-02-23,3480800.78,2824292.14
2023-02-24,3480800.78,2824292.14
2023-02-25,3480800.78,2824292.14
2023-02-26,3480800.78,2824292.14
2023-02-27,3480800.78,2824292.14
2023-02-28,3480800.78,2824292.14
2023-03-01,4928185.47,4230434.31
2023-03-02,4928185.47,4230434.31
2023-03-03,4928185.47,4230434.31
2023-03-04,4928185.47,4230434.31
2023-03-05,4928185.47,4230434.31
2023-03-06,4928185.47,4230434.31
2023-03-07,4928185.47,4230434.31
2023-03-08,4928185.47,4230434.31
2023-03-09,4928185.47,4230434.31
2023-03-10,4928185.47,4230434.31
2023-03-11,4928185.47,4230434.31
2023-03-12,4928185.47,4230434.31
2023-03-13,4928185.47,4230434.31
2023-03-14,4928185.47,4230434.31
2023-03-15,4928185.47,4230434.31
2023-03-16,4928185.47,4230434.31
2023-03-17,4928185.47,4230434.31
2023-03-18,4928185.47,4230434.31
2023-03-19,4928185.47,4230434.31
2023-03-20,4928185.47,4230434.31
2023-03-21,4928185.47,4230434.31
2023-03-22,4928185.47,4230434.31
2023-03-23,4928185.47,4230434.31
2023-03-24,4928185.47,4230434.31
2023-03-25,4928185.47,4230434.31
2023-03-26,4928185.47,4230434.31
2023-03-27,4928185.47,4230434.31
2023-03-28,4928185.47,4230434.31
2023-03-29,4928185.47,4230434.31
2023-03-30,4928185.47,4230434.31
2023-03-31,4928185.47,4230434.31
2023-04-01,6532951.88,5525870.13
2023-04-02,6532951.88,5525870.13
2023-04-03,6532951.88,5525870.13
2023-04-04,6532951.88,5525870.13
2023-04-05,6532951.88,5525870.13
2023-04-06,6532951.88,5525870.13
2023-04-07,6532951.88,5525870.13
2023-04-08,6532951.88,5525870.13
2023-04-09,6532951.88,5525870.13
2023-04-10,6532951.88,5525870.13
2023-04-11,6532951.88,5525870.13
2023-04-12,6532951.88,5525870.13
2023-04-13,6532951.88,5525870.13
2023-04-14,6532951.88,5525870.13
2023-04-15,6532951.88,5525870.13
2023-04-16,6532951.88,5525870.13
2023-04-17,6532951.88,5525870.13
2023-04-18,6532951.88,5525870.13
2023-04-19,6532951.88,5525870.13
2023-04-20,6532951.88,5525870.13
2023-04-21,6532951.88,5525870.13
2023-04-22,6532951.88,5525870.13
2023-04-23,6532951.88,5525870.13
2023-04-24,6532951.88,5525870.13
2023-04-25,6532951.88,5525870.13
2023-04-26,6532951.88,5525870.13
2023-04-27,6532951.88,5525870.13
2023-04-28,6532951.88,5525870.13
2023-04-29,6532951.88,5525870.13
2023-04-30,6532951.88,5525870.13
2023-05-01,6575416.35,5263412.53
2023-05-02,6575416.35,5263412.53
2023-05-03,6575416.35,5263412.53
2023-05-04,6575416.35,5263412.53
2023-05-05,6575416.35,5263412.53
2023-05-06,6575416.35,5263412.53
2023-05-07,6575416.35,5263412.53
2023-05-08,6575416.35,5263412.53
2023-05-09,6575416.35,5263412.53
2023-05-10,6575416.35,5263412.53
2023-05-11,6575416.35,5263412.53
2023-05-12,6575416.35,5263412.53
2023-05-13,6575416.35,5263412.53
2023-05-14,6575416.35,5263412.53
2023-05-15,6575416.35,5263412.53
2023-05-16,6575416.35,5263412.53
2023-05-17,6575416.35,5263412.53
2023-05-18,6575416.35,5263412.53
2023-05-19,6575416.35,5263412.53
2023-05-20,6575416.35,5263412.53
2023-05-21,6575416.35,5263412.53
2023-05-22,6575416.35,5263412.53
2023-05-23,6575416.35,5263412.53
2023-05-24,6575416.35,5263412.53
2023-05-25,6575416.35,5263412.53
2023-05-26,6575416.35,5263412.53
2023-05-27,6575416.35,5263412.53
2023-05-28,6575416.35,5263412.53
2023-05-29,6575416.35,5263412.53
2023-05-30,6575416.35,5263412.53
2023-05-31,6575416.35,5263412.53
2023-06-01,6427108.65,5390924.45
2023-06-02,6427108.65,5390924.45
2023-06-03,6427108.65,5390924.45
2023-06-04,6427108.65,5390924.45
2023-06-05,6427108.65,5390924.45
2023-06-06,6427108.65,5390924.45
2023-06-07,6427108.65,5390924.45
2023-06-08,6427108.65,5390924.45
2023-06-09,6427108.65,5390924.45
2023-06-10,6427108.65,5390924.45
2023-06-11,6427108.65,5390924.45
2023-06-12,6427108.65,5390924.45
2023-06-13,6427108.65,5390924.45
2023-06-14,6427108.65,5390924.45
2023-06-15,6427108.65,5390924.45
2023-06-16,6427108.65,5390924.45
2023-06-17,6427108.65,5390924.45
2023-06-18,6427108.65,5390924.45
2023-06-19,6427108.65,5390924.45
2023-06-20,6427108.65,5390924.45
2023-06-21,6427108.65,5390924.45
2023-06-22,6427108.65,5390924.45
2023-06-23,6427108.65,5390924.45
2023-06-24,6427108.65,5390924.45
2023-06-25,6427108.65,5390924.45
2023-06-26,6427108.65,5390924.45
2023-06-27,6427108.65,5390924.45
2023-06-28,6427108.65,5390924.45
2023-06-29,6427108.65,5390924.45
2023-06-30,6427108.65,5390924.45
2023-07-01,4659789.37,4197264.58
2023-07-02,4659789.37,4197264.58
2023-07-03,4659789.37,4197264.58
2023-07-04,4659789.37,4197264.58
2023-07-05,4659789.37,4197264.58
2023-07-06,4659789.37,4197264.58
2023-07-07,4659789.37,4197264.58
2023-07-08,4659789.37,4197264.58
2023-07-09,4659789.37,4197264.58
2023-07-10,4659789.37,4197264.58
2023-07-11,4659789.37,4197264.58
2023-07-12,4659789.37,4197264.58
2023-07-13,4659789.37,4197264.58
2023-07-14,4659789.37,4197264.58
2023-07-15,4659789.37,4197264.58
2023-07-16,4659789.37,4197264.58
2023-07-17,4659789.37,4197264.58
2023-07-18,4659789.37,4197264.58
2023-07-19,4659789.37,4197264.58
2023-07-20,4659789.37,4197264.58
2023-07-21,4659789.37,4197264.58
2023-07-22,4659789.37,4197264.58
2023-07-23,4659789.37,4197264.58
2023-07-24,4659789.37,4197264.58
2023-07-25,4659789.37,4197264.58
2023-07-26,4659789.37,4197264.58
2023-07-27,4659789.37,4197264.58
2023-07-28,4659789.37,4197264.58
2023-07-29,4659789.37,4197264.58
2023-07-30,4659789.37,4197264.58
2023-07-31,4659789.37,4197264.58
2023-08-01,4441193.49,4348377.84
2023-08-02,4441193.49,4348377.84
2023-08-03,4441193.49,4348377.84
2023-08-04,4441193.49,4348377.84
2023-08-05,4441193.49,4348377.84
2023-08-06,4441193.49,4348377.84
2023-08-07,4441193.49,4348377.84
2023-08-08,4441193.49,4348377.84
2023-08-09,4441193.49,4348377.84
2023-08-10,4441193.49,4348377.84
2023-08-11,4441193.49,4348377.84
2023-08-12,4441193.49,4348377.84
2023-08-13,4441193.49,4348377.84
2023-08-14,4441193.49,4348377.84
2023-08-15,4441193.49,4348377.84
2023-08-16,4441193.49,4348377.84
2023-08-17,4441193.49,4348377.84
2023-08-18,4441193.49,4348377.84
2023-08-19,4441193.49,4348377.84
2023-08-20,4441193.49,4348377.84
2023-08-21,4441193.49,4348377.84
2023-08-22,4441193.49,4348377.84
2023-08-23,4441193.49,4348377.84
2023-08-24,4441193.49,4348377.84
2023-08-25,4441193.49,4348377.84
2023-08-26,4441193.49,4348377.84
2023-08-27,4441193.49,4348377.84
2023-08-28,4441193.49,4348377.84
2023-08-29,4441193.49,4348377.84
2023-08-30,4441193.49,4348377.84
2023-08-31,4441193.49,4348377.84
2023-09-01,3797825.6,3377903.93
2023-09-02,3797825.6,3377903.93
2023-09-03,3797825.6,3377903.93
2023-09-04,3797825.6,3377903.93
2023-09-05,3797825.6,3377903.93
2023-09-06,3797825.6,3377903.93
2023-09-07,3797825.6,3377903.93
2023-09-08,3797825.6,3377903.93
2023-09-09,3797825.6,3377903.93
2023-09-10,3797825.6,3377903.93
2023-09-11,3797825.6,3377903.93
2023-09-12,3797825.6,3377903.93
2023-09-13,3797825.6,3377903.93
2023-09-14,3797825.6,3377903.93
2023-09-15,3797825.6,3377903.93
2023-09-16,3797825.6,3377903.93
2023-09-17,3797825.6,3377903.93
2023-09-18,3797825.6,3377903.93
2023-09-19,3797825.6,3377903.93
2023-09-20,3797825.6,3377903.93
2023-09-21,3797825.6,3377903.93
2023-09-22,3797825.6,3377903.93
2023-09-23,3797825.6,3377903.93
2023-09-24,3797825.6,3377903.93
2023-09-25,3797825.6,3377903.93
2023-09-26,3797825.6,3377903.93
2023-09-27,3797825.6,3377903.93
2023-09-28,3797825.6,3377903.93
2023-09-29,3797825.6,3377903.93
2023-09-30,3797825.6,3377903.93
2023-10-01,3302725.22,2654713.6
2023-10-02,3302725.22,2654713.6
2023-10-03,3302725.22,2654713.6
