Date,Revenue,COGS
2023-01-01,698274.45,400857.68
2023-01-02,1058340.31,708358.36
2023-01-03,1418406.17,1015859.03
2023-01-04,1564985.77,1142007.71
2023-01-05,1445352.37,1042014.14
2023-01-06,1207243.04,841377.8
2023-01-07,1087609.64,741384.23
2023-01-08,1234189.24,867532.9
2023-01-09,1594255.1,1175033.57
2023-01-10,1954320.95,1482534.25
2023-01-11,2100900.56,1608682.92
2023-01-12,1981267.16,1508689.35
2023-01-13,1743157.82,1308053.01
2023-01-14,1623524.42,1208059.44
2023-01-15,1770104.03,1334208.11
2023-01-16,2130169.88,1641708.79
2023-01-17,2490235.74,1949209.47
2023-01-18,2636815.34,2075358.14
2023-01-19,2517181.94,1975364.57
2023-01-20,2279072.61,1774728.23
2023-01-21,2159439.21,1674734.66
2023-01-22,2306018.81,1800883.33
2023-01-23,2666084.67,2108384.01
2023-01-24,3026150.53,2415884.68
2023-01-25,3172730.13,2542033.36
2023-01-26,3053096.73,2442039.78
2023-01-27,2814987.4,2241403.44
2023-01-28,2695354.0,2141409.87
2023-01-29,2841933.6,2267558.55
2023-01-30,3201999.46,2575059.22
2023-01-31,3562065.31,2882559.9
2023-02-01,2215274.68,1726207.18
2023-02-02,2095641.28,1626213.61
2023-02-03,1857531.95,1425577.27
2023-02-04,1737898.55,1325583.7
2023-02-05,1884478.15,1451732.37
2023-02-06,2244544.01,1759233.05
2023-02-07,2604609.87,2066733.72
2023-02-08,2751189.47,2192882.4
2023-02-09,2631556.07,2092888.83
2023-02-10,2393446.74,1892252.49
2023-02-11,2273813.33,1792258.92
2023-02-12,2420392.94,1918407.59
2023-02-13,2780458.79,2225908.27
2023-02-14,3140524.65,2533408.94
2023-02-15,3287104.26,2659557.61
2023-02-16,3167470.85,2559564.04
2023-02-17,2929361.52,2358927.7
2023-02-18,2809728.12,2258934.13
2023-02-19,2956307.72,2385082.81
2023-02-20,3316373.58,2692583.48
2023-02-21,3676439.44,3000084.16
2023-02-22,3823019.04,3126232.83
2023-02-23,3703385.64,3026239.26
2023-02-24,3465276.31,2825602.92
2023-02-25,3345642.91,2725609.35
2023-02-26,3492222.51,2851758.02
2023-02-27,3852288.37,3159258.7
2023-02-28,4212354.22,3466759.37
2023-03-01,3227102.34,2620431.93
2023-03-02,3107468.94,2520438.36
2023-03-03,2869359.6,2319802.02
2023-03-04,2749726.2,2219808.45
2023-03-05,2896305.81,2345957.12
2023-03-06,3256371.66,2653457.8
2023-03-07,3616437.52,2960958.48
2023-03-08,3763017.12,3087107.15
2023-03-09,3643383.72,2987113.58
2023-03-10,3405274.39,2786477.24
2023-03-11,3285640.99,2686483.67
2023-03-12,3432220.59,2812632.34
2023-03-13,3792286.45,3120133.02
2023-03-14,4152352.31,3427633.69
2023-03-15,4298931.91,3553782.37
2023-03-16,4179298.51,3453788.79
2023-03-17,3941189.18,3253152.45
2023-03-18,3821555.78,3153158.88
2023-03-19,3968135.38,3279307.56
2023-03-20,4328201.24,3586808.23
2023-03-21,4688267.09,3894308.91
2023-03-22,4834846.7,4020457.58
2023-03-23,4715213.3,3920464.01
2023-03-24,4477103.96,3719827.67
2023-03-25,4357470.56,3619834.1
2023-03-26,4504050.17,3745982.77
2023-03-27,4864116.02,4053483.45
2023-03-28,5224181.88,4360984.12
2023-03-29,5370761.48,4487132.8
2023-03-30,5251128.08,4387139.22
2023-03-31,5013018.75,4186502.88
2023-04-01,3389794.7,2776477.4
2023-04-02,3536374.31,2902626.07
2023-04-03,3896440.16,3210126.74
2023-04-04,4256506.02,3517627.42
2023-04-05,4403085.63,3643776.09
2023-04-06,4283452.22,3543782.52
2023-04-07,4045342.89,3343146.18
2023-04-08,3925709.49,3243152.61
2023-04-09,4072289.09,3369301.28
2023-04-10,4432354.95,3676801.96
2023-04-11,4792420.81,3984302.64
2023-04-12,4939000.41,4110451.31
2023-04-13,4819367.01,4010457.74
2023-04-14,4581257.68,3809821.4
2023-04-15,4461624.28,3709827.83
2023-04-16,4608203.88,3835976.5
2023-04-17,4968269.74,4143477.18
2023-04-18,5328335.59,4450977.85
2023-04-19,5474915.2,4577126.53
2023-04-20,5355281.8,4477132.95
2023-04-21,5117172.46,4276496.61
2023-04-22,4997539.06,4176503.04
2023-04-23,5144118.67,4302651.72
2023-04-24,5504184.52,4610152.39
