target,feature,importance
Revenue,month,528
Revenue,quarter,0
Revenue,day_of_week,492
Revenue,day_of_month,1821
Revenue,month_sin,185
Revenue,month_cos,462
Revenue,dow_sin,410
Revenue,dow_cos,397
Revenue,is_post_2019,44
Revenue,is_post_2019_transition,108
Revenue,days_from_tet,2053
Revenue,is_low_margin_season,43
Revenue,trend_index,2318
Revenue,is_holiday_302_305,49
Revenue,is_holiday_qk,0
Revenue,is_christmas,0
Revenue,lag_365,1625
Revenue,lag_365_smooth7,1465
COGS,month,400
COGS,quarter,0
COGS,day_of_week,542
COGS,day_of_month,1730
COGS,month_sin,263
COGS,month_cos,379
COGS,dow_sin,395
COGS,dow_cos,406
COGS,is_post_2019,23
COGS,is_post_2019_transition,107
COGS,days_from_tet,1934
COGS,is_low_margin_season,34
COGS,trend_index,2153
COGS,is_holiday_302_305,47
COGS,is_holiday_qk,0
COGS,is_christmas,0
COGS,lag_365,1702
COGS,lag_365_smooth7,1885
